제품코드	제품명	제조		사용		제품입고(6/28 통보)		"자재
확보일"		QC	제품입고(6/24 통보)				
IVP1001S00	이브아르볼륨플러스	IVP19004	2019.08.05	2021.08.04	2.00 	7,000 	12/5			UDI 적용	2019/9/25	10/14 발주요청		26,619	12/9
RFV0001S00	폴리트롭 PS주 300IU	RFV19009	2019.10.21	2022.10.20	3.00 	14,895 	12/6				2019/11/24	11/4 발주요청		9,015	12/11
HIR0005S00	히루안주 2.5mL 5S	HIR19008	2019.09.16	2022.09.15	3.00 	26,619 	12/10				2019/11/6	10/14,16 발주요청		10,000	12/11
ISP1001S00	와이솔루션360	ISP19003	2019.10.18	2021.03.17	1.42 	4,000 	12/10			분할포장(1차)		11/4 발주요청		500	12/13
SIH0001S00	시노비안	SIH19046	2019.10.10	2021.10.09	2.00 	9,015 	12/11				2019/11/15	10/14 발주요청			
ABN0001S00	프로테스칼 1.5mL	ABN19001	2019.03.18	2021.03.17	2.00 	500 	12/13			멸균요청일, 수출 후 잔량	2019/4/23	10/14 발주요청			
ABM0001S00	프로테스칼 5.0mL	ABM19003	2019.09.30	2021.09.29	2.00 	2,122 	12/13			멸균요청일	2019/11/1	11/4 발주요청			
SIH0001S00	시노비안	SIH19044	2019.10.01	2021.09.30	2.00 	9,181 	12/3			2019/11/14	포장기록서 발행		9,181	11/29	
IVL1001S00	이브아르컨투어플러스	IVL19004	2019.09.20	2021.09.19	2.00 	8,259 	12/6	분할포장(2차)		2019/11/6	포장기록서 발행		8,259	12/2	
RFW0001S00	폴리트롭 PS주 225IU	RFW19008	2019.08.27	2022.08.26	3.00 	9,919 	12/6	분할포장(2차)		2019/9/27	포장기록서 발행		9,919	12/4	
HIR0005S00	히루안주 2.5mL 5S	HIR19008	2019.09.16	2022.09.15	3.00 	16,000 	12/10	분할포장, 케이스 8버전, 설명서 7버전 재고 전량 투입(10월 입고자재)		2019/11/6	포장기록서 발행		16,000	12/10	
IVP1001S00	이브아르볼륨플러스	IVP19003	2019.06.11	2021.06.10	2.00 	6,075 	12/13	중국,멕시코=>내수 전환,7월 이전 생산분이나 UDI 적용 필요		2019/7/24	포장기록서 발행		6,075	12/13	
IVP1001S00	이브아르볼륨플러스	IVP19004	2019.08.05	2021.08.04	2.00 	3,000 	12/13			2019/9/25	포장기록서 발행		3,000	12/13	
SIH0001S00	시노비안	SIH19047	2019.10.15	2021.10.14	2.00 	9,310 	12/26			2019/11/23	11/4 발주요청		9,310	12/18	
SIH0001S00	시노비안	SIH19048	2019.10.23	2021.10.22	2.00 	8,483 	12/27			2019/11/28	11/4 발주요청		8,483	12/23	
ISP1001S00	와이솔루션360	ISP19003	2019.10.18	2021.03.17	1.42 	4,000 	12/30	분할포장(1차)		2019/11/27	포장기록서 발행		4,000	12/10	
IIP1001S00	와이솔루션720	IIP19003	2019.08.16	2021.01.15	1.42 	4,609 	12/30			2019/9/27	포장기록서 발행		4,613	12/12	
IVL1001S00	이브아르컨투어플러스	IVL19003	2019.07.10	2021.07.09	2.00 	1,015 	20.1/3			2019/8/29	11/4 발주요청		1,066	12/27	
SIH0001S00	시노비안	SIH19051	2019.11.06	2021.11.05	2.00 	8,349 	1/15				11/20 발주요청				
SIH0001S00	시노비안	SIH19053	2019.11.15	2021.11.14	2.00 	9,200 	1/20				11/20 발주요청				
RFU0001S00	폴리트롭 PS주 75IU	RFU19005	2019.10.29	2022.10.28	3.00 	22,367 	2/5			2019/12/9	11/20 발주요청				
RFV0001S00	폴리트롭 PS주 300IU	RFV19009	2019.10.21	2022.10.20	3.00 	14,895 	12/20			2019/11/24	포장기록서 발행		14,895	12/20	
ABN0001S00	프로테스칼 1.5mL	ABN19001	2019.03.18	2021.03.17	2.00 	500 	12/26			2019/4/23	포장기록서 발행		500	12/26	
ABM0001S00	프로테스칼 5.0mL	ABM19003	2019.09.30	2021.09.29	2.00 	2,122 	12/26			2019/11/1	포장기록서 발행		2,122	12/26	
HIR0005S00	히루안주 2.5mL 5S	HIR19008	2019.09.16	2022.09.15	3.00 	10,619 	12/27	분할포장, 케이스 9버전, 설명서 8버전 사용		2019/11/6	포장기록서 발행		10,619	12/27	
SIH0001S00	시노비안	SIH19049	2019.10.28	2021.10.27	2.00 	8,704 	12/30			2019/11/28	포장기록서 발행		8,704 	12/30	
IVP1001S00	이브아르볼륨플러스	IVP19004	2019.08.05	2021.08.04	2.00 	6,718 	1/3	라벨류는 전량투입(수출 긴급 반영으로 내수 수량 감소)		2019/9/25	11/15 발주요청		6,718	1/3	
IVS0001S00	와이솔루션540	IVS19002	2019.10.02	2021.03.01	1.42 	4,500 	1/6	분할포장(1차)		2019/11/20	포장기록서 발행		4,500	12/12	
IVL1001S00	이브아르컨투어플러스	IVL19005	2019.11.06	2021.11.05	2.00 	11,715 	1/8	해당배치 추가 수출없으면 12월 입고된 캐뉼라 전량 투입			11/20 발주요청		11,715 	1/8	
ICK0001S00	이브아르클래식플러스	ICK19003	2019.06.28	2021.06.27	2.00 	13,498 	1/10	자재 전량 투입(UDI적용 전 마지막 포장,수출 긴급반영으로 내수 수량 감소)		2019/8/27	11/15 발주요청		13,498 	1/10	
ABN0001S00	프로테스칼 1.5mL	ABN19003	2019.11.29	2021.11.28	2.00 	3,510 	1/13	멸균요청일			12/2 발주요청		3,510	1/13	
HIR0005S00	히루안주 2.5mL 5S	HIR19009	2019.11.20	2022.11.19	3.00 	27,334 	1/17				12/2 발주요청		27,334	1/17	
SIH0001S00	시노비안	SIH19054	2019.11.22	2021.11.21	2.00 	9,090 	1/28				12/2 발주요청		9,090	1/17	
SIH0001S00	시노비안	SIH19055	2019.11.27	2021.11.26	2.00 	9,306 	1/31				12/2 발주요청		9,306	1/21	
RFT0001S00	폴리트롭 PS주 150IU	RFT19012	2019.09.19	2022.09.18	3.00 	14,003 	1/21			2019/11/7	12/2 발주요청		14,003	1/21	
IVP1001S00	이브아르볼륨플러스	IVP19005	2019.11.07	2021.11.06	2.00 	12,000 	1/10				11/20 발주요청		30,000 	1/13	
IVP1001S00	이브아르볼륨플러스	IVP19005	2019.11.07	2021.11.06	2.00 	12,000 	1/31				11/20 발주요청		30,000 	1/13	
SIH0001S00	시노비안	SIH19056	2019.12.03	2021.12.02	2.00 	9,414 	2/5				12/16 발주요청				
SIH0001S00	시노비안	SIH19057	2019.12.05	2021.12.04	2.00 	8,760 	2/11				12/16 발주요청				
RFW0001S00	폴리트롭 PS주 225IU	RFW19011	2019.12.09	2022.12.08	3.00 	10,000 	2/13				12/16 발주요청				
SIH0001S00	시노비안	SIH19058	2019.12.11	2021.12.10	2.00 	9,156 	2/14				12/16 발주요청				
ICK1001S00	이브아르클래식플러스	ICK19004	2019.11.28	2021.11.27	2.00 	20,000 	2/14				12/16 발주요청				
IVS0001S00	와이솔루션540	IVS19002	2019.10.02	2021.03.01	1.42 	5,261 	2/21	분할포장(2차)		2019/11/20	12/16 발주요청				
IVP1001S00	이브아르볼륨플러스	IVP19004	2019.08.05	2021.08.04	2.00 	675 	2/7	수출 후 잔량							
IVP1001S00	이브아르볼륨플러스	IVP19005	2019.11.07	2021.11.06	2.00 	8,172 	2/7								
IVP1001S00	이브아르볼륨플러스	IVP19006	2019.12.05	2021.12.04	2.00 	25,000 	2/21								
SIH0001S00	시노비안	SIH19059	2019.12.19	2021.12.18	2.00 	9,000 	2/21								
SIH0001S00	시노비안	SIH19060	2019.12.24	2021.12.23	2.00 	8,805 	2/28								
IDM0001S00	이브아르하이드로	IDM18002	2018.10.18	2020.10.17	2.00 	324 	2/27	입고자재 전량 투입		2018/12/4					
HIR0005S00	히루안주 2.5mL 5S	HIR19010	2019.11.28	2022.11.27	3.00 	26,986 	2/7			2020/1/23	포장기록서 발행		26,986	2/7	
SIH0001S00	시노비안	SIH20001	2020.01.15	2022.01.14	2.00 	8,594 	3/5				1/21 발주요청		8,594	3/5	
ABM0001S00	프로테스칼 5.0mL	ABM20001	2020.02.03	2022.02.02	2.00 	5,616 	2/24,3/9	멸균요청일, 분할포장 예정							
IIP1001S00	와이솔루션720	IIP19004	2019.11.29	2021.04.30	1.42 	5,000 	3/6								
SIH0001S00	시노비안	SIH20003	2020.01.23	2022.01.22	2.00 	6,700 	3/17	일부 수출 반영(말레이시아, 콜롬비아)							
RFW0001S00	폴리트롭 PS주 225IU	RFW19011	2019.12.09	2022.12.08	3.00 	10,057 	4/3								
ABM0001S00	프로테스칼 5.0mL	ABM20001	2020.02.03	2022.02.02	2.00 	2,808 	3/6			2020/3/5	포장기록서 발행		2,808	3/6	
ABM0001S00	프로테스칼 5.0mL	ABM20001	2020.02.03	2022.02.02	2.00 	2,808 	3/6			2020/3/5	포장기록서 발행		2,808	3/6	
IVL1001S00	이브아르컨투어플러스	IVL20001	2020.01.03	2022.01.02	2.00 	11,483 	3/9	캐뉼라 재고부족		2020/2/11	포장기록서 발행		11,483 	3/9	
ISP1001S00	와이솔루션360	ISP19003	2019.10.18	2021.03.17	1.42 	5,582 	3/13	분할포장(2차)		2019/11/27	2/3 발주요청		5,582	3/13	
SIH0001S00	시노비안	SIH20009	2020.02.27	2022.02.26	2.00 	9,200 	4/13				3/3 자재발주		9,200 	4/13	
HIF0001S00	히알플러스 0.55mL 1S	HIF20001	2020.02.20	2023.02.19	3.00 	6,500 	4/20				3/3 자재발주		6,500 	4/20	
HIR0005S00	히루안주 2.5mL 5S	HIR20003	2020.02.13	2023.02.12	3.00 	26,983 	4/27				2/25 자재발주		26,983	4/27	
IVP1001S00	이브아르볼륨플러스	IVP20001	2020.01.22	2022.01.21	2.00 	13,100 	4/27			2020/3/12	3/3 자재발주		13,100 	4/27	
SIH0001S00	시노비안	SIH20012	2020.03.12	2022.03.11	2.00 	9,200 	4/17								
ICK1001S01	이브아르클래식플러스	ICK20001	2020.02.06	2022.02.05	2.00 	13,000 	5/8								
RFT0001S00	폴리트롭 PS주 150IU	RFT20002	2020.01.09	2023.01.08	3.00 	15,669 	5/18			2020/2/19					
HIF0001S00	히알플러스 0.55mL 1S	HIF20001	2020.02.20	2023.02.19	3.00 	5,531 	5/25								
ICK1001S00	이브아르클래식플러스	ICK19004	2019.11.28	2021.11.27	2.00 	1,579 	5/8			2020/1/10	3/16 자재발주		1,579 	5/8	
SIH0001S00	333	SIH20013	2020.03.18	2022.03.17	2.00 	9,200 	4/22				3/18 자재발주				
ABN0001S00	332	ABN19003	2019.11.29	2021.11.28	2.00 	1,790 	4/23	멸균요청일(태국 5/6 수출물량과 함께)		2020/1/17	3/19 자재발주				
SIH0001S00	시노비안	SIH20014	2020.03.23	2022.03.22	2.00 	9,200 	4/28				3/26 자재발주				
SIH0001S00	시노비안	SIH20015	2020.03.26	2022.03.25	2.00 	9,200 	5/7				3/26 자재발주				
ABM0001S00	프로테스칼 5.0mL	ABM20002	2020.03.02	2022.03.01	2.00 	2,042 	5/18	멸균요청일(말레이시아 6/3 수출물량과 함께)			3/26 자재발주				
HIC0001S00	히알플러스 0.95mL 1S	HIC20001	2020.03.12	2023.03.11	3.00 	7,000 	5/20				4/9 발주요청				
HIB0001S00	히알2000주 0.85mL 1S	HIB20001	2020.04.14	2023.04.13	3.00 	7,000 	5/25				4/16 발주요청				
SIH0001S00	시노비안	SIH20019	2020.04.09	2022.04.08	2.00 	8,425 	5/29				4/9 발주요청				
HIR0005S00	히루안주	HIR20004	2020.04.02	2023.04.01	3.00 	24,139 	6/4	인도(6/22) 3010syr 제외할 것			4/9 발주요청				
SIH0001S00	시노비안	SIH20020	2020.04.14	2022.04.13	2.00 	9,200 	6/4				4/16 발주요청				
ABM0001S00	프로테스칼 5.0mL	ABM20003	2020.04.13	2022.04.12	2.00 	5,616 	6/8	멸균요청일			4/16 발주요청				
SIH0001S00	시노비안	SIH20017	2020.04.02	2022.04.01	2.00 	8,976 	5/20	포장기록서 발행			8,976 	5/20			
SIH0001S00	시노비안	SIH20019	2020.04.09	2022.04.08	2.00 	8,425 	5/29	포장기록서 발행			8,425 	5/29			
SIH0001S00	시노비안	SIH20021	2020.04.22	2022.04.21	2.00 	9,200 	6/10	4/27 발주요청			9,200 	6/10			
SIH0001S00	시노비안	SIH20003	2020.01.23	2022.01.22	2.00 	454 	6/10	4/27 발주요청_추가							
RFV0001S00	폴리트롭 PS주 300IU	RFV20007	2020.05.07	2023.05.06	3.00 	7,500 	6/22								
HIC0001S00	히알플러스 0.95mL 1S	HIC20001	2020.03.12	2023.03.11	3.00 	5,845 	6/22								
IVP1001S00	이브아르볼륨플러스	IVP20002	2020.04.09	2022.04.08	2.00 	20,000 	6/26								
HIB0001S00	히알2000주 0.85mL 1S	HIB20001	2020.04.14	2023.04.13	3.00 	13,330 	6/26								
HIR0005S00	히루안주	HIR20005	2020.05.01	2023.04.30	3.00 	27,281 	7/6								
IVL1001S00	이브아르컨투어플러스	IVL20003	2020.04.20	2022.04.19	2.00 	12,500 	6/5	4/27 발주요청			12,500 	6/5			
RFW0001S00	폴리트롭 PS주 225IU	RFW20003	2020.04.22	2023.04.21	3.00 	20,039 	6/10	4/27 발주요청			20,400 	6/10			
ABM0001S00	프로테스칼 5.0mL	ABM20003	2020.04.13	2022.04.12	2.00 	2,477 	6/29	5/7 발주요청			2,477 	6/29			
IIP1001S00	와이솔루션720	IIP19004	2019.11.29	2021.04.28	1.42 	4,769 	6/29	5/7 발주요청			4,769	6/29			
SIH0001S00	시노비안	SIH20022	2020.05.14	2022.05.13	2.00 	8,262 	6/23								
SIH0001S00	시노비안	SIH20023	2020.05.18	2022.05.17	2.00 	8,558 	6/29								
ABN0001S00	프로테스칼 1.5mL	ABN20001	2020.05.18	2022.05.17	2.00 	1,638 	6/29								
ABN0001S00	프로테스칼 1.5mL	ABN20001	2020.05.18	2022.05.17	2.00 	5,616 	7/6								
SIH0001S00	시노비안	SIH20024	2020.05.21	2022.05.20	2.00 	7,547 	7/6								
SIH0001S00	시노비안	SIH20025	2020.05.27	2022.05.26	2.00 	8,464 	7/10								
SIH0001S00	시노비안	SIH20026	2020.06.01	2022.05.31	2.00 	8,414 	7/16								
IVL1001S00	이브아르컨투어플러스	IVL20004	2020.05.20	2022.05.19	2.00 	11,636 	7/20								
RFT0001S00	폴리트롭 PS주 150IU	RFT20004	2020.05.27	2023.05.26	3.00 	15,000 	7/16								
RFU0001S00	폴리트롭 PS주 75IU	RFU20006	2020.06.01	2023.05.31	3.00 	10,000 	7/22								
SIH0001S00	시노비안	SIH20027	2020.06.08	2022.06.07	2.00 	8,900 	7/22								
SIH0001S01	시노비안	SIH20028	2020.06.10	2022.06.09	2.00 	8,901 	7/27								
RFV0001S00	폴리트롭 PS주 300IU	RFV20007	2020.05.07	2023.05.06	3.00 	7,726 	8/14								
HIR0005S00	히루안주	HIR20006	2020.06.05	2023.06.04	3.00 	24,400 	8/21								
ABM0001S00	프로테스칼 5.0mL	ABM20004	2020.05.11	2022.05.10	2.00 	5,616 	8/21								
SIH0001S02	시노비안	SIH20029	2020.06.17	2022.06.16	2.00 	8,902 									
SIH0001S03	시노비안	SIH20030	2020.06.22	2022.06.21	2.00 	8,903 									
SIH0001S04	시노비안	SIH20031	2020.06.25	2022.06.24	2.00 	8,904 									
SIH0001S05	시노비안	SIH20032	2020.06.29	2022.06.28	2.00 	8,905 									
HIF0001S00	히알플러스주 0.55mL 1S	HIF20002	2020.06.18	2023.06.17	3.00 	8,000 	8/21								
IVP1001S00	이브아르볼륨플러스	IVP20001	2020.01.22	2022.01.21	2.00 	4,108 	8/28	7/14 자재발주			4,108 	8/28			
ICK1001S00	이브아르클래식플러스	ICK20001	2020.02.06	2022.02.05	2.00 	232 	8/28	7/14 자재발주			232 	8/28			
SIH0001S06	시노비안	SIH20034	2020.07.08	2022.07.07	2.00 	8,622 	8/31	7/14 자재발주			8,500	8/31			
HIC0001S00	히알플러스주 0.95mL 1S	HIC20002	2020.07.02	2023.07.01	3.00 	8,000 	8/31	7/14 자재발주			8,000	8/31			
SIH0001S07	시노비안	SIH20035	2020.07.09	2022.07.08	2.00 	8,485 	9/4	7/14 자재발주			8,500	9/4			
RFT0001S00	폴리트롭 PS주 150IU	RFT20004	2020.05.27	2023.05.26	3.00 	12,709 	9/9	7/14 자재발주			12,898 	9/9			
IVP1001S00	이브아르볼륨플러스	IVP20003	2020.06.26	2022.06.25	2.00 	25,000 	9/9	7/14 자재발주			25,000	9/9			
HIR0005S00	히루안주	HIR20007	2020.07.09	2023.07.08	3.00 	27,500 	9/14	7/14 자재발주			27,500	9/14			
IVS0001S00	와이솔루션540	IVS20001	2020.07.10	2021.12.09	1.42 	5,100 	9/4	7/27 발주요청							
SIH0001S08	시노비안	SIH20036	2020.07.15	2022.07.14	2.00 	8,963 	9/10	7/27 발주요청							
SIH0001S00	시노비안	SIH20033	2020.07.02	2022.07.01	2.00 	220 	8/25	임상용							
RFW0001S00	폴리트롭 PS주 225IU	RFW20005	2020.07.06	2023.07.05	3.00 	10,000 	9/8				9,599				
RFV0001S00	폴리트롭 PS주 300IU	RFV20008	2020.06.22	2023.06.21	3.00 	8,018 	9/10				6,228 				
ABN0001S00	프로테스칼 1.5mL	ABN20001	2020.05.18	2022.05.17	2.00 	2,808 	9/10								
RFU0001S00	폴리트롭 PS주 75IU	RFU20006	2020.06.01	2023.05.31	3.00 	9,872 	9/16				11,764 				
SIH0001S00	시노비안	SIH20037	2020.08.10	2022.08.09	2.00 	4,100 	9/16								
ABN0001S00	프로테스칼 1.5mL	ABN20001	2020.05.18	2022.05.17	2.00 	2,808 	10/7								
SIH0001S00	시노비안	SIH20039	2020.08.20	2022.08.19	2.00 	9,000 	9/16								
RFT0001S00	폴리트롭 PS주 150IU	RFT20005	2020.08.19	2023.08.18	3.00 	10,000 	9/25								
ISP1001S00	와이솔루션360	ISP20001	2020.08.20	2022.01.19	1.42 	3,000 	10/7								
RFW0001S00	폴리트롭 PS주 225IU	RFW20005	2020.07.06	2023.07.05	3.00 	9,941 	10/13	포장기록서 발행			9,941	10/13			
HIR0005S00	히루안주	HIR20008	2020.08.13	2023.08.12	3.00 	27,500 	10/16	포장기록서 발행			27,500	10/16			
RFV0001S00	폴리트롭 PS주 300IU	RFV20008	2020.06.22	2023.06.21	3.00 	6,000 	10/20	포장기록서 발행			6,000 	10/16			
IIP1001S00	와이솔루션720	IIP20001	2020.09.03	2022.09.02	2.00 	5,000 	10/23	9/8 발주요청			5,000	10/23			
IVP1001S00	이브아르볼륨플러스	IVP20002	2020.04.09	2022.04.08	2.00 	14,463 	10/27	포장기록서 발행			14,463 	10/12			
HIF0001S00	히알플러스주 0.55mL 1S	HIF20002	2020.06.18	2023.06.17	3.00 	9,898 	10/27	포장기록서 발행			9,898 	10/19			
SIH0001S00	시노비안	SIH20040	2020.08.26	2022.08.25	2.00 	8,543 	10/19	포장기록서 발행		#REF!					
SIH0001S00	시노비안	SIH20041	2020.09.02	2022.09.01	2.00 	8,492 	10/19	포장기록서 발행		#REF!					
IVL1001S00	이브아르컨투어플러스	IVL20005	2020.07.29	2022.07.28	2.00 	11,555 	10/19	포장기록서 발행		#REF!					
ABN0001S00	프로테스칼 1.5mL	ABN20001	2020.05.18	2022.05.17	2.00 	1,535 	10/20	포장기록서 발행		#REF!					
SIH0001S00	시노비안	SIH20042	2020.09.09	2022.09.08	2.00 	4,838 	10/22	포장기록서 발행		#REF!					
HRU0003S00	히루안플러스	HRU20002	2020.02.27	2022.02.26	2.00 	4,394 	10/23	포장기록서 발행		#REF!					
HRU0003S00	히루안플러스	HRU20003	2020.04.08	2022.04.07	2.00 	10,969 	10/23	포장기록서 발행		#REF!					
HIC0001S00	히알플러스주 0.95mL 1S	HIC20002	2020.07.02	2023.07.01	3.00 	12,336 	11/3	포장기록서 발행		#REF!					
ICK1001S00	이브아르클래식플러스	ICK20002	2020.06.04	2022.06.03	2.00 	12,073 	11/3	포장기록서 발행		#REF!					
HIR0005S00	히루안주	HIR20006	2020.06.05	2023.06.04	3.00 	3,020 	11/6	9/18 발주요청		#REF!					
RFT0001S00	폴리트롭 PS주 150IU	RFT20005	2020.08.19	2023.08.18	3.00 	17,444 	11/20	포장기록서 발행		#REF!					
SIH0001S00	시노비안	SIH20046	2020.09.24	2022.09.23	2.00 	8,313 	11/11	포장기록서 발행		#REF!					
SIH0001S00	시노비안	SIH20047	2020.10.06	2022.10.05	2.00 	9,382 	11/11	포장기록서 발행		#REF!					
SIH0001S00	시노비안	SIH20048	2020.10.14	2022.10.13	2.00 	9,337 	11/18	10/16 발주요청		#REF!					
HIR0005S00	히루안주	HIR20009	2020.09.09	2023.09.08	3.00 	24,098 	11/23	포장기록서 발행		#REF!					
ABN0001S00	프로테스칼 1.5mL	ABN20002	2020.10.08	2022.10.07	2.00 	3,861 	11/26	10/16 발주요청		#REF!					
RFW0001S00	폴리트롭 PS주 225IU	RFW20006	2020.09.08	2023.09.07	3.00 	10,000 	11/26	포장기록서 발행		#REF!					
HRU0003S00	히루안플러스	HRU20004	2020.08.26	2023.08.25	3.00 	32,462 	11/30	10/16 발주요청		#REF!					
SIH0001S00	시노비안	SIH20050	2020.10.28	2022.10.27	2.00 	9,000 	12/3	10/28 발주요청		#REF!					
RFU0001S00	폴리트롭 PS주 75IU	RFU20008	2020.06.29	2023.06.28	3.00 	10,000 	12/3	포장기록서 발행		#REF!					
RFV0001S00	폴리트롭 PS주 300IU	RFV20009	2020.06.30	2023.06.29	3.00 	7,000 	12/11	10/6 발주요청		#REF!					
SIH0001S00	시노비안	SIH20051	2020.11.02	2022.11.01	2.00 	9,000 	12/11			#REF!					
SIH0001S00	시노비안	SIH20052	2020.11.04	2022.11.03	2.00 	9,000 	12/16			#REF!					
HIR0005S00	히루안주	HIR20009	2020.10.22	2023.10.21	3.00 	3,020 	12/14			#REF!					
HRU0003S00	히루안플러스	HRU20005	2020.10.15	2023.10.14	3.00 	30,525 	12/18			#REF!					
HIR0005S00	히루안주	HIR20010	2020.10.22	2023.10.21	3.00 	26,902 	12/21	11/5 발주요청		#REF!					
ISP1001S00	와이솔루션360	ISP20001	2020.08.20	2022.01.19	1.42 	1,400 	12/21	포장기록서 발행		#REF!					
IVL1001S00	이브아르컨투어플러스	IVL20006	2020.09.24	2022.09.23	2.00 	5,483 	12/28			#REF!					
SIH0001S00	시노비안	SIH20054	2020.11.16	2022.11.15	2.00 	9,100 	12/30			#REF!					
SIH0001S00	시노비안	SIH20055	2020.11.19	2022.11.18	2.00 	9,100 	12/30			#REF!					
HIF0001S00	히알플러스주 0.55mL 1S	HIF20003	2020.08.10	2023.08.09	3.00 	8,000 	12/30			#REF!					
HIF0001S00	히알플러스주 0.55mL 1S	HIF20003	2020.08.10	2023.08.09	3.00 	10,653 	1/27	포장기록서 발행		#REF!					
ICK1001S00	이브아르클래식플러스	ICK20004	2020.11.20	2022.11.19	2.00 	4,000 	2/19	포장기록서 발행		#REF!					
SIH0001S00	시노비안	SIH20066	2020.12.30	2022.12.29	2.00 	9,000 	2/26	1/12 발주		#REF!					
ABN0001S00	프로테스칼 1.5mL	ABN20002	2020.10.08	2022.10.07	2.00 	606 	3/2	12/29 발주		#REF!					
ABM0001S00	프로테스칼 5.0mL	ABM20005	2020.09.02	2022.09.01	2.00 	1,256 	3/2	1/18 발주		#REF!					
HIC0001S00	히알플러스 0.95mL 1S	HIC21001	2021.01.04	2024.01.03	3.00 	20,460 	3/5	1/12 발주		#REF!					
SIH0001S00	시노비안	SIH21001	2021.01.13	2023.01.12	2.00 	9,157 	3/5	1/18 발주		#REF!					
IIP1001S00	와이솔루션720	IIP20001	2020.09.03	2022.09.02	2.00 	1,844 	4/2								
IIP1001S00	와이솔루션720	IIP21001	2021.01.22	2023.01.21	2.00 	880 	4/2								
IIP1001S00	와이솔루션720	IIP21001	2021.01.22	2023.01.21	2.00 	2,721 	3/29	RA 제공		#REF!					
IIP1001S00	와이솔루션720	IIP21001	2021.01.22	2023.01.21	2.00 	1,043 	3/30	RA 제공		#REF!					
IVL1001S00	이브아르컨투어플러스	IVL20007A	2020.12.14	2022.12.13	2.00 	12,592 	3/26			#REF!	BP210101				
ABN0001S00	프로테스칼 1.5mL	ABN21001	2021.02.25	2023.02.24		2,691 	4/8	2/26 발주요청			BP210167				
ABM0001S00	프로테스칼 5.0mL	ABM21001	2021.02.18	2023.02.17	2.00 	2,223 	4/8	2/26 발주요청			BP210168				
ICK1001S00	이브아르클래식플러스	ICK21001	2021.01.20	2023.01.19	2.00 	6 	5/7	자재확보		#REF!	BP210099				
IVP1001S00	이브아르볼륨플러스	IVP20005A	2020.10.22	2022.10.21	2.00 	7,679 	4/15								
IVL1001S00	이브아르컨투어플러스	IVL20007B	2020.12.14	2022.12.13	2.00 	1,999 	4/19				BP210218 발주 후 취소				
ICK1001S00	이브아르클래식플러스	ICK20004B	2020.11.20	2022.11.19	2.00 	2,322 	4/19								
ISP2001S00	와이솔루션360	ISP21001	2021.02.18	2022.07.17	1.41 	3,190 	8/9	6/28 발주요청		2021/3/27	BP2100630				
SIH0001S00	시노비안	SIH21026	2021.05.20	2023.05.19	2.00 	9,365 	8/30	6/28 발주요청	PV1, 포장 후 출하대기!!(PV보고서 완료 후 출하)	2021/6/23	BP2100627				
HIR0005S00	히루안주	HIR21006	2021.06.28	2024.06.27	3.00 	27,500 	8/30	6/28 발주요청			BP210629				
