자 재	자재 내역	자재유형	자재유형 내역	생산저장위치	기준단위	포장단위	수출 포장 단위		
CRT0120C00	카리토연질캡슐 120C	FERT	완제품	1502	PAC	#N/A	#N/A	#N/A	
CRT0200C00	카리토연질캡슐 200C	FERT	완제품	1502	PAC	#N/A	#N/A	#N/A	
DPS0020D00	DP72	FERT	완제품		KG	#N/A	#N/A	#N/A	
DSM0100T00	듀얼셋세미정 100T	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
DSM0300T00	듀얼셋세미정 300T(30T×10BT)	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
DTP0010V00	엘지 DTaP백신주 0.5mL 10V	FERT	완제품	2610	PAC	10V	#N/A	#N/A	0.17
ENA0100T00	엘지 에날라프릴정 10밀리그람 100T	FERT	완제품	2610	PAC	#N/A	0	#N/A	
ENA0300T00	엘지에날라프릴정10MG 30T×10BT	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
ENA1000T00	엘지에날라프릴정 10MG 1000T	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
EPG0001V03	EPO 10000IU/1mL 10V 파키스탄	FERT	완제품	2610	VI	10V	2800	m	0.17
EPH0000B01	엘지에리스로포이에틴(REPO)4000IU/mL	FERT	완제품	2510	G	#N/A	2800	m	
EPI0001V06	EPO 2000IU/O.5mL 10V 파나마(Epotiv)	FERT	완제품	2610	VI	10V	2800	m	0.17
EPI0001V07	EPO 2000IU/O.5ML 10V 페루(EPOTIV)	FERT	완제품	2610	VI	10V	2800	m	0.17
EPK0001V03	EPO PS 20000IU/2mL 10V 영문표준	FERT	완제품	2610	VI	10V	2800	m	0.17
EPK0001V04	EPO20000IU/2ML 10V파나마	FERT	완제품	2610	VI	10V	2800	m	0.17
EPL0001V01	EPO 4000IU/1mL 10V 영문 LGLS(수출공통)	FERT	완제품	2610	VI	10V	2800	m	0.17
EPL0001V06	EPO 4000IU/mL 10V 태국	FERT	완제품	2610	VI	10V	2800	m	0.17
EPN0001S02	에스포젠PS주1000IU/0.25mL(Epotive,베트남	FERT	완제품	2610	SYR	6S	2800	구형흥아	0.17
EPO0001S01	EPO PS 2000IU/0.5mL 6S 수출공통	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S02	EPO PS 2000IU/0.5mL 6S 예멘(MOH)	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S03	EPO PS 2000IU/0.5mL 1×6S 네팔	FERT	완제품	2610	SYR	1×6S	384	구형흥아	0.17
EPO0001S05	EPO PS 2000IU/0.5mL 3S 파키스탄	FERT	완제품	2610	SYR	3S	582	구형흥아	0.17
EPO0001S06	EPO PS 2000IU/0.5mL 6S 태국	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S08	EPO PS 2000IU/0.5mL 6S 베트남	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S09	Epotive 2000IU PS inj 1x6S 우루과이	FERT	완제품	2610	SYR	1×6S	384	구형흥아	0.17
EPO0001S10	에스포젠 PS 2000IU/0.5mL 102S 우크라이나	FERT	완제품	2610	SYR	102S(6s)	384	구형흥아	0.17
EPO0001S11	EPO PS 2000IU/0.5mL 6S 필리핀	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S12	에스포젠PS2000IU/0.5mLEpotiv영문	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S13	에스포젠(REPO)PS주2000IU/0.5mL 6S아제르	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S14	에스포젠(REPO)PS주 2000IU/0.5mL 6S중국	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S15	에스포젠(REPO)PS주2000IU/0.5mL6S에콰도르	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0001S16	에스포젠(REPO)PS주 2000IU/0.5mL 6S 몽골	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPO0006S00	에스포젠PS주 2000IU/0.5mL 6S	FERT	완제품	2610	PAC	6S	570	구형흥아	0.17
EPQ0001S01	EPO PS 4000IU/0.4mL 6S 수출공통	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S02	EPO PS 4000IU/0.4mL 6S 예멘(ARMY)	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S03	EPO PS 4000IU/0.4mL 6S 예멘(MOH)	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S04	EPO PS 4000IU/0.4mL 6S 예멘(PRIVATE)	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S05	EPO PS 4000IU/0.4mL 6S 예멘(DEFENSE)	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S06	EPO PS 4000IU/0.4mL 6S 예멘(DRUG FUND)	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S07	EPO PS 4000IU/0.4mL 1×6S 네팔	FERT	완제품	2610	SYR	1×6S	384	구형흥아	0.17
EPQ0001S09	EPO PS 4000IU/0.4mL 3S 파키스탄	FERT	완제품	2610	SYR	3S	582	구형흥아	0.17
EPQ0001S10	EPO PS 4000IU/0.4mL 6S 태국	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S12	EPO PS 4000IU/0.4mL 6S 이집트	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S13	에스포젠 PS 4000IU/0.4mL 102S 우크라이나	FERT	완제품	2610	SYR	102S(6s)	570	구형흥아	0.17
EPQ0001S14	EPO PS 4000IU/0.4mL 6S 캄보디아	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S15	EPO PS 4000IU/0.4mL 6S 필리핀	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S16	에스포젠PS주4000IU/0.4ML 6S 리비아	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S17	EPO PS 4000IU/0.4mL 6S 수단	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S18	에스포젠(REPO)PS주4000IU/0.4ML 6S 중국	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S19	에스포젠(REPO)PS주4000IU/0.4mL 6S베트남	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S20	에스포젠(REPO)PS주 4000IU/0.4mL 6S 에콰도르	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S21	에스포젠(REPO)PS주 4000IU/0.4mL 6S 몽골	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPQ0001S22	에스포젠(REPO)PS주 4000IU/0.4mL 3S 파키스탄	FERT	완제품	2610	SYR	3S	582	구형흥아	0.17
EPQ0006S00	에스포젠PS주 4000IU/0.4mL 6S	FERT	완제품	2610	PAC	6S	570	구형흥아	0.17
EPR0001S03	EPO PS 3000IU/0.3mL 6S 태국	FERT	완제품	2610	SYR	6S	570	구형흥아	0.17
EPU0001S01	EPO PS 10000IU/1mL 5S LGLS(영문공통)	FERT	완제품	2610	SYR	5S	570	구형흥아	0.17
EPU0001S02	EPO PS 10000IU/1mL 5S 태국	FERT	완제품	2610	SYR	5S	220	구형흥아	0.17
EPU0001S03	에스포젠 PS 10000IU/1mL 100S 우크라이나	FERT	완제품	2610	SYR	100S	220	구형흥아	0.17
EPU0001S04	에스포젠PS주10000IU/1mL(Epotive, 베트남)	FERT	완제품	2610	SYR	5S	200	구형흥아	0.17
EPU0001S05	에스포젠 PS주 10000IU/1mL 5S 필리핀	FERT	완제품	2610	SYR	5S	220	구형흥아	0.17
EPU0001S06	에스포젠(REPO)PS주10000IU/1mL 5S아제르	FERT	완제품	2610	SYR	5S	220	구형흥아	0.17
EPU0001S07	에스포젠(REPO)PS주10000IU/1mL 5S 캄보디아	FERT	완제품	2610	SYR	5S	220	구형흥아	0.17
EPU0001S08	에스포젠(REPO)PS주 10000IU/1mL 5S 몽골	FERT	완제품	2610	SYR	5S	220	구형흥아	0.17
EPU0005S00	에스포젠PS주 10000IU/1mL 5S	FERT	완제품	2610	PAC	5S	220	구형흥아	0.17
ESM0028C00	넥사졸캡슐 40mg(28C×1PAC)	FERT	완제품	1502	PAC	#N/A	220	#N/A	
ESZ0028C00	넥사졸캡슐 20mg (28C×1PAC)	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	
FAI0001V99	팩티브주200mg 1Kit	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	0.17
FAI0010V00	팩티브주 200밀리그램 10V	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	0.17
FAI0010V99	팩티브주 200mg 10V	FERT	완제품	2610	PAC	#N/A	#N/A	#N/A	0.17
FAT0001T03	Factive 320mg (5T) NIGERIA	FERT	완제품	2610	TAB	#N/A	#N/A	#N/A	
FAT0001T05	Factive 320mg (5T×30PTP) 이란	FERT	완제품	2610	TAB	#N/A	#N/A	#N/A	
FAT0001T08	Factive 320mg 칠레	FERT	완제품	2610	TAB	#N/A	#N/A	#N/A	
FQN0025D00	QN09	FERT	완제품		KG	#N/A	#N/A	#N/A	
FQN1025D00	QN09	FERT	완제품	1101	KG	#N/A	#N/A	#N/A	
HCI0001V00	아이브이에프씨주 1000아이유 1V	FERT	완제품	2610	PAC	1V(축소)	576	캠블리스터	0.17
HCI0001V01	IVF-C주 1000IU 1V 인도	FERT	완제품	2610	VI	1V(축소)	576	#N/A	0.17
HCI0001V03	IVF-C주 1000IU 1V 태국	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCI0001V04	IVF-C주 1000IU 1V 파키스탄	FERT	완제품	2610	VI	1V(축소)	576	바이알실린지	0.17
HCI0001V05	IVF-C주 1000IU 1V 베트남	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCI0001V06	IVF-C주 1000IU 1V 영문표준	FERT	완제품	2610	VI	1V(축소)	576	#N/A	0.17
HCI0001V08	IVF-C주 1000IU 1V BI 영문 (홍콩)	FERT	완제품	2610	VI	1V(축소)	576	#N/A	0.17
HCI0001V09	IVF-C 1000IU 1V 아제르바이잔	FERT	완제품	2610	VI	#N/A	576	#N/A	0.17
HCI0001V10	IVF-C주 1000IU 1V 영문표준(도로명주소)	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCI0001V11	IVF-C주 1000IU 1V 그루지아	FERT	완제품	2610	VI	#N/A	#N/A	#N/A	0.17
HCI0001V12	IVF-C주 1000IU 1V 미얀마	FERT	완제품	2610	VI	#N/A	#N/A	#N/A	0.17
HCI0001V13	IVF-C주 1000IU 1V 카자흐스탄	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCI0001V14	IVF-C주 1000IU 1V 네팔	FERT	완제품	2610	VI	#N/A	#N/A	#N/A	0.17
HCI0001V15	IVFC주 1000IU 1V 칠레	FERT	완제품	2610	VI	#N/A	#N/A	#N/A	0.17
HCI0001V16	IVF-C주 1000IU 1V 우즈베키스탄	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCI0001V18	IVF-C주 1000IU 1V 미얀마	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCJ0001V01	IVF-C주 5000IU 1V 인도	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCJ0001V07	IVF-C주 5000IU 3V LGLS 영문 표준	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V09	IVF-C주 5000IU 3V 태국	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V10	IVF-C주 5000IU 1V 파키스탄	FERT	완제품	2610	VI	1V(축소)	576	바이알실린지	0.17
HCJ0001V11	IVF-C주 5000IU 3V 베트남	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V12	IVF-C주 5000IU 1V 영문표준 (구주소)	FERT	완제품	2610	VI	1V(축소)	420	#N/A	0.17
HCJ0001V13	IVF-C주 5000IU 3V 영문표준 (구주소)	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V14	IVF-C 5000IU 3V 리비아	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V15	IVF-C 5000IU 3V 수단	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V16	IVF-C 5000IU 3V 이란	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V17	IVF-C주 5000IU 3V 홍콩	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V18	IVF-C 5000IU 10V 이란	FERT	완제품	2610	VI	10V	420	바이알실린지	0.17
HCJ0001V19	IVF-C 5000IU 3V 시리아	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V20	IVF-C 5000IU 3V 나이지리아	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V21	IVF-C 5000IU 3V 아제르바이잔	FERT	완제품	2610	VI	#N/A	#N/A	#N/A	0.17
HCJ0001V22	IVF-C 5000IU 1V 페루	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCJ0001V24	IVF-C주 5000IU 3V 영문표준(도로명주소)	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V25	IVF-C주 5000IU 1V 영문표준 (도로명주소)	FERT	완제품	2610	VI	#N/A	#N/A	#N/A	0.17
HCJ0001V26	IVF-C주 5000IU 3V 그루지아	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V27	IVF-C주 5000IU 1V 인도(WML사)	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCJ0001V28	IVF-C주 5000IU 3V 미얀마	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V29	IVF-C주 5000IU 1V 카자흐스탄	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCJ0001V30	IVF-C주 5000IU 1V 네팔	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCJ0001V31	IVF-C주 5000IU 1V 스리랑카	FERT	완제품	2610	VI	#N/A	576	#N/A	0.17
HCJ0001V32	IVF-C주 5000IU 3V 스리랑카	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V33	IVFC주 5000IU 3V 칠레	FERT	완제품	2610	VI	#N/A	420	#N/A	0.17
HCJ0001V34	IVF-C주 5000IU 3V 우즈베키스탄	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V35	IVF-C주 5000IU 3V 쿠웨이트	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V37	IVF-C주 5000IU 3V 쿠웨이트	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V38	IVF-C주 5000IU 3V 미얀마	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V39	IVF-C주 5000IU 3V UAE	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0001V40	IVF-C주 5000IU 3V 몽골	FERT	완제품	2610	VI	1V(축소)	576	캠블리스터	0.17
HCJ0001V43	IVF-C 5000IU	FERT	완제품	2610	VI	3V	420	바이알실린지	0.17
HCJ0005V00	아이브이에프씨주 5000아이유 5V	FERT	완제품	2610	PAC	1*5V(축소)	700	캠블리스터	0.17
HIA0010V00	아쿠아메조	FERT	완제품	2610	PAC	#N/A	700	#N/A	0.17
HIB0001S00	히알2000주 0.85mL 1S	FERT	완제품	2610	PAC	1S	100	구형흥아	0.17
HIB0001S01	히알 2000주 0.85mL 1S LGLS(영문공통)	FERT	완제품	2610	SYR	1S	100	구형흥아	0.17
HIB0001S02	히알 2000주 0.85mL 1S  인도	FERT	완제품	2610	SYR	1S	100	구형흥아	0.17
HIB0001S04	히알 2000주 0.85mL 1S LGLS 리비아	FERT	완제품	2610	SYR	1S	100	#N/A	0.17
HIB0001S05	히알2000주 0.85mL 1S LGLS 파키스탄	FERT	완제품	2610	SYR	1S	100	#N/A	0.17
HIB0001S06	히알 2000주 0.85mL 1S (베네주엘라)	FERT	완제품	2610	SYR	1S	100	#N/A	0.17
HIB0001S07	히알 2000주 0.85mL 1S (중국)	FERT	완제품	2610	SYR	1S	100	#N/A	0.17
HIB0001S08	하이원주 0.85mL(태국)	FERT	완제품	2610	SYR	1S	100	구형흥아	0.17
HIB0001S09	히알2000주 1S 0.85(중국의료기기)	FERT	완제품	2610	SYR	1S	84	#N/A	0.17
HIB0001S10	히알2000주 0.85mL 72S (우크라이나)	FERT	완제품	2610	SYR	72S	144	구형흥아	0.17
HIB0001S11	히알2000주 0.85mL 1S (페루)	FERT	완제품	2610	SYR	1S	100	구형흥아	0.17
HIB0001S12	히알 2000주 0.85mL 1S LGLS(영문신규공통)	FERT	완제품	2610	SYR	1S	100	#N/A	0.17
HIB0001S13	히알2000주 0.85mL 1S 이라크	FERT	완제품	2610	SYR	#N/A	100	#N/A	0.17
HIB0001S14	히알2000주 0.85mL 1S 과테말라	FERT	완제품	2610	SYR	#N/A	#N/A	#N/A	0.17
HIB0001S15	히알 2000주 0.85mL 1S 인도 (판매처추가)	FERT	완제품	2610	SYR	1S	100	구형흥아	0.17
