배치번호	Cell-S	Cell-H	RWP-1	RWP-2	RWP-3	RWP-4
BSP19033	94.9	91.5 	97.9 	86.3 	84.7 	
BSP19034	93.1	91.4 	88.5 	87.4 	84.3 	
BSP19035	94	93.3 	91.4 	89.4 	87.2 	
BSP19036	94.3	91.2 	88.5 	85.8 	84.3 	
BSP19037	93.3	92.6 	90.3 	85.3 	84.4 	
BSP19038	95.9	89.2 	88.1 	86.8 	84.8 	
BSP19039	98.3	97.5 	88.9 	87.6 	86.1 	
BSP19040	94.1	90.7 	88.6 	86.5 	85.1 	
BSP19041	94.6	91.3 	89.5 	87.4 	85.6 	
BSP19042	94.3	91.2 	88.4 	87.0 	85.6 	
BSP19043	93.2	91.4 	88.9 	87.1 	85.8 	
BSP19044	93.1	90.8 	88.8 	87.7 	86.4 	
BSP19045	93.2	91.7 	88.5 	86.6 	85.1 	
BSP19046	94.1	92.6 	89.4 	87.3 	85.7 	
BSP19047	92.5	90.1 	87.5 	86.1 	84.6 	
BSP19048	94.3	91.9 	89.2 	87.4 	86.0 	
BSP19049	96.6	93.9 	89.5 	87.2 	85.1 	
BSP19050	94.8	92.1 	89.4 	86.6 	85.3 	
BSP19051	95	91.8 	88.7 	85.9 	85.1 	
BSP19052	94.1	91.0 	88.4 	86.2 	85.0 	
BSP19053	94.4	91.2 	89.0 	87.0 	85.5 	
BSP19054	106.6	96.4 	95.2 	91.3 	87.2 	
BSP19055	98.3	97.7 	91.0 	87.3 	86.2 	
BSP19056	96.2	92.8 	90.3 	88.2 	85.9 	
BSP19057	96.5	93.0 	91.2 	89.4 	87.2 	
BSP19058	93.8	91.7 	88.6 	86.3 	85.6 	
BSP19059	93.3	90.1 	88.5 	86.7 	85.4 	
BSP19060	94.5	91.9 	88.7 	87.2 	85.9 	
BSP19061	98.6	95.7 	93.6 	91.7 	88.0 	
BSP19062	99	95.0 	88.9 	87.8 	85.3 	
BSP19063	97.4	94.7 	90.4 	87.7 	86.3 	
BSP19064	99.7	98.1 	90.7 	89.6 	86.0 	
BSP19065	98.5	94.6 	92.7 	89.4 	86.4 	
BSP19066	98.9	95.7 	89.2 	87.2 	85.8 	
BSP19067	98.7	138.3 	92.2 	89.3 	85.8 	
BSP19068	94.2	92.6 	89.3 	87.6 	85.7 	
BSP19069	95.2	92.5 	89.4 	86.9 	85.1 	
BSP19070	93.7	91.0 	89.6 	87.0 	86.1 	
BSP19071	97.3	93.5 	89.4 	86.9 	85.0 	
BSP19072	100.3	97.1 	91.5 	89.2 	86.7 	
BSP19073	98.7	93.7 	90.7 	88.9 	85.9 	
BSP19074	99.9	96.9 	90.1 	87.0 	85.1 	
BSP19075	93.3	90.1 	89.6 	88.4 	85.9 	
BSP19076	88.9	88.2 	85.9 	84.6 	83.3 	
BSP19077	96.2	92.2 	90.5 	86.3 	83.7 	83.1 
BSP19078	98.2	97.2 	93.8 	91.9 	89.5 	89.0 
BSP19079	94.2	92.6 	88.7 	86.5 	85.0 	83.6 
BSP19080	94.5	90.4 	89.5 	87.1 	86.0 	83.4 
BSP19081	96.7	94.3 	93.1 	92.6 	90.3 	88.5 
BSP19082	92.7	90.7 	87.7 	87.3 	85.3 	82.2 
BSP19083	93.9	92.9 	89.9 	86.1 	84.6 	83.0 
BSP19084	97.1	92.5 	91.5 	88.9 	85.6 	85.2 
BSP19085	98.8	94.4 	89.8 	88.6 	87.9 	86.0 
BSP19086	98.3	95.5 	92.0 	91.6 	89.9 	86.9 
BSP19087	99.4	97.1 	94.4 	93.4 	90.6 	87.4 
BSP19088	99.9	97.8 	93.4 	89.9 	88.8 	86.1 
BSP19089	96.6	92.8 	88.9 	87.9 	86.4 	85.0 
BSP19090	96.3	93.8 	90.1 	89.2 	87.5 	86.8 
BSP19091	94.7	91.0 	88.3 	87.0 	85.6 	84.9 
BSP19092	96.2	92.3 	88.9 	87.2 	85.9 	85.6 
BSP20001	94.2	91.8 	90.2 	88.4 	86.9 	85.2 
BSP20002	94.5	91.1 	89.5 	87.9 	86.5 	85.4 
BSP20003	95.9	91.7 	90.0 	88.5 	87.0 	85.7 
BSP20004	94.5	90.9 	89.4 	88.0 	86.9 	85.3 
BSP20005	100.8	96.3 	91.3 	90.6 	85.8 	85.4 
BSP20006	97.6	95.1 	90.6 	90.1 	86.8 	85.6 
BSP20008	96	93.5 	90.0 	88.0 	86.7 	85.4 
BSP20009	96.1	93.4 	90.2 	88.8 	86.8 	85.0 
BSP20010	100	98.4 	94.2 	91.6 	88.9 	86.6 
BSP20011	100.8	98.5 	92.9 	90.8 	87.6 	85.7 
BSP20012	96.7	94.1 	91.0 	89.2 	87.2 	85.4 
BSP20013	98.8	97.4 	95.2 	93.5 	91.9 	91.0 
BSP20014	91.7	90.7 	89.1 	87.0 	85.7 	84.1 
BSP20015	87	86.6 	86.0 	85.2 	82.1 	80.1 
BSP20016	98.9	97.5 	92.3 	87.6 	87.0 	85.2 
BSP20017	98.1	95.5 	92.8 	89.9 	86.7 	85.4 
BSP20018	97.3	94.2 	90.9 	88.4 	86.0 	84.2 
BSP20019	97.8	94.8 	91.1 	88.4 	86.1 	84.9 
BSP20020	97.6	93.5 	91.1 	89.3 	87.0 	84.9 
BSP20021	94.4	92.1 	89.9 	88.0 	86.5 	85.5 
BSP20022	97.4	94.7 	93.6 	92.6 	90.7 	87.5 
BSP20023	92	89.7 	87.5 	86.9 	84.7 	82.6 
BSP20024	97.2	96.2 	90.7 	89.0 	87.2 	85.5 
BSP20025	97	93.6 	91.5 	87.7 	85.9 	85.4 
BSP20026	93.6	91.6 	90.5 	88.0 	85.9 	84.5 
BSP20027	95.2	92.1 	90.5 	88.0 	86.6 	85.6 
BSP20028	93.7	91.8 	90.1 	88.5 	86.7 	85.4 
BSP20029	95.2	93.4 	91.4 	89.4 	87.4 	85.8 
BSP20030	92.5	90.9 	89.3 	87.2 	85.6 	84.0 
BSP20031	90.3	88.2 	87.3 	86.3 	84.2 	83.1 
BSP20032	94.7	91.9 	89.3 	87.7 	85.7 	84.2 
BSP20033	93.2	90.5 	89.3 	87.9 	86.0 	84.2 
BSP20034	95.1	92.4 	89.7 	88.7 	87.8 	86.4 
BSP20035	96.5	92.3 	89.6 	88.5 	87.4 	85.5 
BSP20036	96.3	91.6 	89.6 	88.6 	87.7 	86.2 
BSP20037	112.4	115.2 	114.8 	111.5 	100.9 	113.6 
BSP20038	88	92.1 	93.0 	85.6 	74.2 	83.9 
BSP20039	110.6	90.4 	80.1 	73.6 	80.5 	94.5 
BSP20040	104.2	105.3 	103.4 	94.7 	98.2 	96.4 
BSP20041	93.1	121.0 	101.9 	91.6 	98.7 	92.0 
BSP20042	68.3	108.1 	105.8 	90.0 	93.9 	101.0 
BSP20043	92	93.4 	92.9 	81.0 	74.0 	83.4 
BSP20044	98.9	99.6 	94.2 	87.1 	79.8 	96.0 
BSP20045	107.3	100.4 	101.0 	93.5 	78.9 	94.0 
BSP20046	97.4	92.6 	89.3 	75.5 	68.1 	80.8 
BSP20047	85.3	91.4 	84.7 	81.2 	75.6 	92.5 
BSP20048	102.4	104.2 	90.7 	85.7 	80.3 	91.5 
BSP20049	108.1	108.7 	94.3 	91.6 	83.0 	98.0 
BSP20050	94.6	98.0 	99.3 	89.3 	85.9 	89.2 
BSP20051	107.1	109.6 	99.8 	94.2 	84.9 	94.4 
BSP20052	120.6	121.9 	117.0 	112.7 	94.0 	93.3 
BSP20053	109	106.1 	101.4 	99.3 	88.0 	88.8 
BSP20054	126	96.2 	90.9 	90.6 	83.5 	99.0 
BSP20055	96.9	91.7 	86.2 	82.4 	77.7 	83.8 
BSP20056	105.8	94.7 	92.6 	84.5 	69.4 	86.3 
BSP20057	89.9	97.7 	91.0 	81.7 	82.8 	87.3 
BSP20058	101.4	104.0 	99.4 	93.7 	87.7 	98.3 
BSP20059	102	98.1 	95.8 	92.4 	82.4 	92.0 
BSP20060	108.9	101.1 	89.1 	82.1 	76.2 	87.4 
BSP20061	104.3	103.4 	101.1 	91.6 	91.3 	103.2 
BSP20062	78.6	95.5 	96.9 	83.3 	87.5 	102.6 
BSP20063	84.5	92.4 	93.2 	79.1 	72.7 	84.3 
BSP20064	72.4	96.4 	84.7 	76.1 	73.6 	88.9 
BSP20065	92	96.8 	93.1 	81.0 	76.0 	91.4 
BSP20066	108.2	115.4 	103.9 	102.0 	91.5 	96.9 
BSP20067	108.4	115.2 	111.4 	107.4 	99.6 	110.3 
BSP20068	92.9	105.6 	90.4 	85.2 	78.0 	86.0 
BSP20069	93.3	96.1 	92.2 	97.1 	78.7 	93.1 
BSP20070	116.9	114.2 	112.0 	94.9 	88.6 	95.8 
BSP20071	82.6	100.0 	98.7 	102.3 	94.9 	101.3 
BSP20072	107.9	114.1 	106.4 	87.4 	81.9 	92.4 
BSP20073	91	93.7 	85.4 	82.9 	74.2 	85.0 
BSP20074	108.5	99.1 	98.3 	92.3 	82.2 	86.1 
BSP20075	108.3	99.3 	85.7 	86.5 	80.9 	86.6 
BSP20076	118.2	115.5 	87.4 	110.2 	103.6 	102.5 
BSP20077	118.9	117.3 	114.4 	108.9 	108.7 	110.9 
BSP20078	97.1	94.3 	75.4 	87.2 	85.7 	96.7 
BSP20079	100.1	97.2 	95.2 	86.9 	81.1 	90.8 
BSP20080	100.3	90.6 	80.6 	77.1 	73.1 	84.2 
BSP20081	105.5	104.8 	103.5 	96.3 	87.7 	95.4 
BSP20082	90.8	94.6 	90.1 	82.8 	80.7 	89.6 
BSP20083	93	102.6 	95.8 	85.3 	92.1 	88.1 
BSP20084	76.2	92.2 	81.0 	85.5 	71.9 	88.2 
BSP20085	91.1	95.6 	85.3 	80.8 	81.4 	93.0 
BSP20086	105.4	100.2 	90.8 	90.4 	90.9 	96.1 
BSP20087	105.4	103.5 	94.6 	89.5 	86.2 	87.5 
BSP20088	119	116.2 	114.3 	98.8 	92.5 	107.9 
BSP20089	112	96.2 	89.0 	84.1 	76.2 	84.8 
BSP20090	113	105.9 	104.3 	86.9 	77.2 	83.0 
BSP20091	102.9	106.0 	94.3 	89.0 	85.0 	93.9 
BSP20092	105.7	95.8 	97.8 	92.8 	92.9 	104.7 
BSP20093	128.8	112.3 	99.4 	97.3 	87.7 	93.2 
BSP20094	89.5	103.3 	96.4 	95.3 	94.2 	98.9 
BSP20095	90.8	90.4 	83.8 	79.0 	68.5 	84.9 
BSP20096	116.7	96.8 	87.0 	77.6 	64.6 	82.6 
BSP20097	121.2	104.0 	101.1 	88.7 	84.6 	97.0 
BSP20098	101.3	107.7 	101.9 	105.4 	90.5 	95.1 
BSP20099	106.2	102.2 	93.5 	83.0 	92.8 	89.7 
BSP20100	110.9	101.4 	79.4 	85.7 	75.6 	86.8 
BSP20101	95.6	86.7 	92.8 	79.7 	84.3 	97.9 
BSP20102	103.3	95.6 	91.0 	83.7 	76.4 	88.7 
BSP20103	106.9	100.4 	92.9 	81.5 	72.6 	88.2 
BSP20104	108.4	101.3 	91.9 	82.2 	74.9 	91.5 
BSP20105	97.7	102.2 	96.5 	87.4 	77.1 	89.7 
BSP20106	106.6	101.0 	98.0 	91.6 	81.6 	96.3 
BSP20107	87.9	97.6 	88.4 	82.4 	70.6 	87.4 
BSP20108	93.3	102.3 	90.1 	88.0 	77.6 	93.7 
BSP20109	98	105.5 	89.1 	79.8 	72.7 	83.8 
BSP20110	91.8	87.5 	84.1 	77.4 	74.2 	84.1 
BSP20111	113.6	105.6 	91.0 	90.7 	91.9 	102.8 
BSP20112	99.4	98.3 	96.7 	95.4 	87.0 	92.6 
BSP20113	95.7	105.0 	90.2 	91.2 	81.3 	88.9 
BSP20114	102.8	92.8 	87.3 	79.5 	74.6 	90.1 
BSP21001	116.6	99.7 	93.5 	75.3 	69.9 	78.9 
BSP21002	123.9	123.9 	108.1 	93.2 	81.7 	95.1 
BSP21003	110.8	109.0 	104.0 	103.4 	100.5 	102.1 
BSP21004	91.4	91.0 	84.5 	76.2 	74.8 	83.9 
BSP21005	117.4	104.3 	95.7 	93.0 	83.8 	103.2 
BSP21006	122.9	110.2 	95.6 	86.6 	84.7 	99.4 
BSP21007	118.8	101.9 	87.6 	84.9 	78.1 	84.4 
BSP21008	103.5	107.2 	95.6 	81.8 	83.7 	99.5 
BSP21009	115.5	110.1 	107.1 	104.8 	104.8 	103.4 
BSP21010	110.4	107.0 	106.0 	104.7 	103.7 	102.5 
BSP21011	129.8	116.0 	89.5 	78.3 	69.4 	91.8 
BSP21012	92.5	97.4 	86.3 	78.9 	78.3 	95.3 
BSP21013	109.5	102.3 	82.3 	69.4 	64.6 	75.0 
BSP21014	90	91.0 	80.8 	71.2 	69.2 	85.7 
BSP21015	98.5	95.1 	94.3 	93.3 	100.0 	91.3 
BSP21016	95.1	94.8 	92.3 	89.7 	88.8 	87.0 
BSP21017	125.3	99.8 	91.5 	82.4 	71.8 	79.8 
BSP21018	118.2	114.9 	98.1 	92.3 	84.0 	95.7 
BSP21019	102.3	91.8 	78.1 	75.8 	66.8 	79.7 
BSP21020	111.5	107.7 	101.5 	90.7 	83.9 	102.0 
BSP21021	124.1	107.5 	95.1 	82.7 	74.2 	88.7 
BSP21022	126.9	106.3 	98.8 	89.2 	82.9 	93.8 
BSP21023	101	97.8 	90.7 	88.2 	87.6 	85.9 
BSP21024	100.1	93.6 	91.2 	89.9 	87.8 	87.2 
BSP21025	100.3	96.4 	90.6 	88.8 	89.1 	86.7 
BSP21026	99.2	98.1 	93.9 	90.7 	88.7 	87.4 
BSP21027	93.6	98.7 	93.3 	88.3 	83.2 	87.5 
BSP21028	98.3	93.0 	91.3 	84.7 	79.8 	86.2 
BSP21029	118.3	99.2 	85.5 	72.2 	65.9 	80.7 
BSP21030	105.9	98.8 	93.5 	80.8 	80.9 	95.9 
BSP21031	122.9	93.2 	82.9 	72.5 	64.7 	77.4 
BSP21032	116.5	102.9 	93.5 	89.0 	84.0 	97.2 
BSP21033	102.3	111.5 	107.5 	98.2 	97.9 	123.2 
BSP21034	102.7	102.4 	85.8 	85.4 	75.5 	88.5 
BSP21035	98.7	94.0 	89.0 	79.3 	75.1 	89.0 
BSP21036	103.7	93.5 	89.2 	83.3 	74.5 	90.6 
BSP21037	122.5	103.9 	94.7 	83.5 	83.5 	102.1 
BSP21038	102.2	102.2 	87.3 	84.1 	79.1 	89.0 
BSP21039	99.8	103.5 	96.1 	92.4 	85.0 	103.5 
BSP21040	112.3	106.6 	100.9 	89.5 	87.6 	106.6 
BSP21041	94.7	98.0 	91.4 	86.3 	73.1 	93.0 
BSP21042	127	101.9 	83.1 	81.5 	73.7 	86.3 
BSP21043	83.5	96.3 	83.5 	80.2 	67.4 	91.5 
BSP21044	79.1	95.9 	90.9 	84.1 	79.1 	92.6 
BSP21045	111.1	113.0 	103.1 	99.2 	91.3 	99.2 
BSP21046	111.6	108.1 	99.2 	90.3 	86.8 	95.6 
BSP21047	116.9	102.9 	99.4 	90.7 	87.2 	94.2 
BSP21048	111.7	108.4 	98.5 	96.9 	78.8 	93.6 
BSP21049	133.5	113.3 	109.2 	103.1 	95.0 	103.1 
BSP21050	132.1	114.0 	105.7 	92.5 	92.5 	94.1 
BSP21051	112	100.3 	91.9 	81.9 	76.9 	93.6 
BSP21052	95.7	102.3 	99.0 	92.4 	80.8 	94.0 
BSP21053	92.8	97.3 	86.8 	82.3 	71.9 	91.3 
BSP21054	90.2	96.4 	87.2 	79.6 	79.6 	90.2 
BSP21055	114.6	95.5 	91.1 	85.2 	76.4 	86.8 
BSP21056	108.5	105.5 	93.4 	88.9 	76.9 	90.4 
BSP21057	121.5	113.3 	110.0 	98.5 	87.0 	103.4 
BSP21058	128	112.0 	104.1 	96.0 	91.2 	100.8 
BSP21059	115.8	101.2 	93.9 	80.7 	77.7 	88.0 
BSP21060	119.4	95.0 	88.2 	78.7 	73.3 	85.5 
BSP21061	99.6	101.1 	95.1 	84.5 	75.5 	92.0 
BSP21062	108.1	88.8 	77.2 	72.0 	64.4 	79.8 
BSP21063	115.3	93.6 	86.5 	86.5 	83.6 	85.0 
BSP21064	106.3	112.8 	109.6 	99.8 	90.0 	103.0 
BSP21065	112.9	111.4 	97.7 	90.1 	90.1 	91.6 
BSP21066	120.9	100.8 	97.9 	86.3 	80.6 	87.8 
BSP21067	110.1	103.4 	103.4 	96.7 	83.4 	93.3 
BSP21068	103.4	89.7 	86.2 	82.7 	75.8 	82.7 
BSP21069	116	84.0 	78.0 	74.0 	64.0 	70.0 
BSP21070	96.9	93.8 	90.6 	81.3 	81.3 	87.5 
BSP21071	106.3	100.0 	96.9 	78.2 	87.6 	93.8 
BSP21072	94.7	85.5 	85.5 	91.6 	85.5 	94.7 
BSP21073	103.1	96.7 	99.9 	99.9 	99.9 	109.6 
BSP21074	73.8	77.0 	77.0 	70.5 	73.8 	89.8 
BSP21075	108.5	97.7 	94.7 	93.2 	88.6 	45.8 
BSP21076	105.2	97.1 	97.1 	105.2 	72.8 	105.2 
BSP21077	89.7	82.6 	71.8 	68.2 	75.4 	89.7 
BSP21078	98.2	86.0 	81.1 	71.3 	71.3 	81.1 
BSP21079	116.1	103.2 	100.0 	93.5 	90.3 	96.7 
BSP21080	117.5	108.9 	108.9 	97.5 	86.0 	100.3 
BSP21081	107.2	100.8 	94.6 	88.3 	88.3 	94.6 
BSP21082	108.4	99.6 	96.7 	93.8 	82.1 	87.9 
BSP21083	106.7	94.1 	97.3 	94.1 	87.8 	91.0 
BSP21084	111.3	96.7 	93.8 	90.8 	79.1 	90.8 
BSP21085	103.2	114.7 	121.6 	110.1 	103.2 	96.4 
BSP21086	105.6	97.3 	97.3 	94.5 	94.5 	91.7 
BSP21087	100.3	93.3 	91.0 	84.0 	81.7 	79.4 
BSP21088	118.7	91.9 	89.0 	83.0 	83.9 	89.0 
BSP21089	105.8	102.7 	93.4 	90.2 	84.1 	96.5 
BSP21090	100.8	89.6 	89.6 	81.2 	72.8 	81.2 
BSP21091	108.4	102.5 	96.7 	82.0 	79.1 	85.0 
BSP21092	110.4	100.9 	91.5 	85.1 	78.9 	88.2 
BSP21093	109.5	116.2 	96.2 	99.5 	99.5 	99.5 
BSP21094	105.9	80.2 	86.2 	77.0 	70.5 	80.2 
BSP21095	94.8	94.8 	91.6 	88.3 	88.3 	88.3 
BSP21096	113.3	103.4 	103.4 	96.6 	90.0 	90.0 
BSP21097	126.9	118.8 	118.8 	114.7 	106.5 	122.9 
BSP21098	113.6	103.1 	100.4 	84.5 	81.9 	89.8 
BSP21099	115.6	96.4 	90.0 	93.1 	86.7 	96.4 
BSP21100	100.8	97.8 	97.8 	88.6 	88.6 	97.8 
BSP21101	115.6	103.5 	100.4 	88.2 	88.2 	97.3 
BSP21102	109	94.0 	97.8 	94.0 	82.7 	97.8 
BSP21103	112.8	98.3 	98.3 	98.3 	86.7 	89.6 
BSP21104	120.9	124.6 	106.3 	106.3 	109.9 	117.3 
BSP21105	112.3	103.7 	95.1 	89.3 	89.3 	95.1 
BSP21106	117.3	113.6 	113.6 	106.4 	102.6 	110.0 
BSP21107	110.7	99.6 	88.5 	83.0 	83.0 	88.5 
BSP21108	108.9	97.1 	94.1 	88.3 	82.4 	85.3 
BSP21109	103.2	103.2 	103.2 	88.9 	88.9 	94.6 
BSP21110	117.2	113.7 	113.7 	96.5 	93.1 	106.9 
BSP21111	95.7	83.8 	80.8 	80.8 	74.7 	86.7 
BSP21112	101.3	91.8 	91.8 	88.6 	82.4 	85.5 
BSP21113	111.5	97.1 	88.6 	71.5 	65.7 	80.0 
BSP21114	104.1	82.5 	93.3 	79.0 	86.1 	96.9 
BSP21115	127.6	99.3 	90.8 	85.1 	76.6 	85.1 
BSP21116	102.8	106.2 	99.5 	86.3 	86.3 	99.5 
BSP21117	103.7	100.8 	95.1 	86.4 	83.5 	92.1 
BSP21118	107.7	95.0 	88.6 	85.5 	79.1 	91.8 
BSP21119	107.2	95.2 	83.4 	76.2 	71.4 	78.6 
BSP21120	106.5	93.6 	90.4 	87.2 	77.4 	87.2 
BSP21121	102.7	89.1 	78.4 	81.1 	70.3 	81.1 
BSP21122	97.8	93.3 	82.2 	82.2 	77.8 	82.2 
BSP21123	103.2	93.6 	90.3 	83.9 	83.9 	87.1 
BSP21124	127.1	91.9 	83.8 	75.7 	70.3 	83.8 
BSP21125	105.7	94.3 	80.0 	71.4 	71.4 	82.9 
BSP21126	112.5	112.5 	112.5 	96.9 	100.0 	112.5 
BSP21127	106.2	100.0 	96.9 	87.5 	81.3 	93.8 
BSP21128	105.5	97.2 	91.7 	88.9 	83.3 	91.7 
BSP21129	106.1	97.0 	93.9 	90.9 	84.9 	93.9 
BSP21130	93.9	100.0 	97.0 	90.9 	87.9 	100.0 
BSP21131	100	91.2 	91.2 	82.4 	82.4 	85.3 
BSP21132	113.3	106.7 	100.0 	100.0 	96.7 	103.3 
BSP21133	117.9	110.8 	107.1 	100.0 	92.9 	103.6 
BSP21134	100	93.3 	90.0 	93.3 	86.7 	100.0 
BSP21135	93.8	93.8 	90.6 	81.3 	78.1 	87.5 
BSP21136	100	87.4 	90.6 	78.1 	71.9 	81.2 
BSP21137	93.8	78.1 	78.1 	68.8 	71.9 	71.9 
BSP21138	111.9	95.9 	100.0 	100.0 	95.9 	107.9 
BSP21139	93.9	87.9 	87.9 	84.8 	75.8 	90.9 
BSP21140	100	93.6 	87.1 	83.9 	83.9 	87.1 
BSP21141	109	81.8 	72.7 	78.8 	75.7 	84.8 
BSP21143	93.1	96.6 	89.6 	86.2 	86.2 	96.6 
BSP21144	100	90.9 	81.8 	78.8 	75.7 	81.8 
BSP21145	103.2	93.5 	90.3 	83.9 	83.9 	93.5 
BSP21146	100	100.0 	100.0 	96.6 	89.6 	100.0 
BSP21147	106.9	93.1 	89.7 	86.2 	89.7 	103.4 
BSP21148	97.3	84.2 	76.3 	76.3 	76.3 	78.9 
BSP21149	96.8	100.0 	87.1 	87.1 	83.9 	93.5 
BSP22001	98.2	98.2 	91.9 	91.9 	88.7 	95.0 
BSP22002	94.6	94.6 	91.4 	85.1 	85.1 	85.1 
BSP22003	113.9	94.4 	86.0 	88.9 	72.2 	80.6 
BSP22004	100	78.1 	70.7 	68.3 	65.9 	80.5 
BSP22005	105.7	102.8 	94.3 	82.9 	82.9 	85.7 
BSP22006	102.9	100.0 	97.1 	88.2 	82.3 	91.2 
BSP22007	89.1	86.5 	81.1 	75.7 	70.3 	81.1 
BSP22008	92.5	95.0 	87.5 	77.5 	75.0 	84.9 
BSP22009	100	105.8 	94.1 	88.2 	88.2 	88.2 
BSP22010	103.4	106.6 	106.6 	100.0 	83.4 	90.0 
BSP22011	102.6	84.2 	76.3 	68.4 	68.4 	79.0 
BSP22012	86.5	83.8 	81.1 	83.8 	67.6 	81.1 
BSP22013	122.8	111.4 	97.1 	85.7 	82.8 	91.4 
BSP22014	110	113.4 	103.3 	103.3 	96.7 	110.0 
BSP22015	122.2	108.4 	97.3 	86.2 	80.6 	91.7 
BSP22016	128.2	81.3 	106.3 	90.6 	84.4 	103.2 
BSP22017	94.4	102.8 	88.9 	83.3 	77.8 	88.9 
BSP22018	103	100.0 	84.9 	81.8 	75.8 	87.9 
BSP22019	100	96.9 	90.6 	90.6 	90.6 	93.8 
BSP22020	94.3	88.6 	82.8 	82.8 	74.3 	77.1 
BSP22021	97.2	88.9 	86.1 	80.5 	77.7 	83.3 
BSP22022	100	93.7 	96.8 	90.6 	81.3 	84.4 
BSP22023	97.1	91.4 	88.5 	88.5 	85.7 	85.7 
BSP22024	96.8	93.7 	90.6 	87.4 	84.3 	93.7 
BSP22025	94.8	97.4 	89.4 	86.8 	78.9 	81.6 
BSP22026	106.3	112.5 	93.8 	93.8 	84.4 	96.9 
BSP22027	129	103.2 	90.3 	87.1 	80.6 	103.2 
BSP22028	107.1	107.1 	103.6 	96.4 	89.3 	107.1 
BSP22029	105.1	99.6 	99.6 	94.1 	88.6 	94.1 
BSP22030	107.2	103.6 	92.9 	92.9 	92.9 	96.5 
BSP22031	83.3	113.3 	100.0 	90.0 	86.7 	100.0 
BSP22032	87.1	113.0 	106.4 	96.8 	87.1 	103.2 
BSP22033	108.4	77.8 	102.8 	97.2 	91.7 	94.4 
BSP22034	105.7	95.8 	92.4 	95.8 	92.4 	95.8 
BSP22035	113.3	100.0 	96.7 	93.3 	90.0 	96.7 
BSP22036	118.8	100.0 	115.6 	96.9 	96.9 	103.2 
BSP22037	103.4	93.1 	110.3 	106.8 	82.7 	100.0 
BSP22038	118.1	106.1 	106.1 	103.0 	84.8 	93.9 
BSP22039	125.9	103.3 	106.5 	100.0 	90.3 	106.5 
BSP22040	100	91.5 	88.6 	82.8 	80.0 	91.5 
BSP22041	90.6	100.0 	90.6 	87.5 	87.5 	93.8 
BSP22042	114.6	100.0 	90.3 	82.9 	75.6 	82.9 
BSP22043	102.8	85.7 	80.0 	74.3 	68.6 	82.9 
BSP22044	103.5	89.3 	78.5 	89.3 	82.1 	92.9 
BSP22045	94.6	86.5 	78.3 	70.3 	64.8 	78.3 
BSP22046	91.1	100.0 	100.0 	85.3 	76.4 	85.3 
BSP22047	103	90.9 	93.9 	84.8 	78.8 	87.9 
BSP22048	100	93.1 	96.6 	93.1 	89.7 	96.6 
BSP22049	103.5	110.4 	107.0 	96.6 	93.1 	103.5 
BSP22050	110.4	107.0 	107.0 	96.6 	89.7 	107.0 
BSP22051	130	110.0 	110.0 	100.0 	86.7 	103.3 
BSP22052	126	111.1 	100.0 	103.7 	100.0 	111.1 
BSP22053	116.7	103.3 	96.7 	90.0 	86.7 	93.3 
BSP22054	103.4	100.0 	116.7 	90.0 	90.0 	96.6 
BSP22055	110.4	103.4 	100.0 	93.1 	86.2 	96.5 
BSP22056	117.3	107.0 	96.6 	89.7 	89.7 	93.1 
