Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2022-07-19,pm 4:01:40,37.29,42.26,38.54,40.92,44.82,38.25,41.22,37.58,40.74,36.58,40.37,39.2,40.53,41.88,40.93,41.46,42.37,37.98,41.22,42.26
2022-07-19,pm 4:01:50,37.26,42.33,38.52,40.85,44.91,38.25,35.09,37.63,40.72,36.55,40.34,39.16,40.49,41.97,40.96,41.62,42.3,37.99,35.09,42.33
2022-07-19,pm 4:02:00,37.23,42.34,38.53,40.75,45.06,38.36,44.48,37.8,40.84,36.67,40.42,39.18,40.39,41.98,40.94,41.7,42.39,37.92,44.48,42.34
2022-07-19,pm 4:02:10,37.1,42.36,38.44,40.72,45,38.36,40.45,37.81,40.85,36.62,40.4,39.18,40.36,41.94,40.87,41.63,42.39,37.88,40.45,42.36
2022-07-19,pm 4:02:20,36.94,42.22,38.27,40.57,44.77,38.24,40.71,37.67,40.75,36.51,40.36,38.99,40.2,41.87,40.71,41.43,42.31,37.72,40.71,42.22
2022-07-19,pm 4:02:30,36.86,42.27,38.27,40.43,44.75,38.22,45.75,37.65,40.66,36.46,40.53,38.95,40.1,41.98,40.66,41.44,42.17,37.63,45.75,42.27
2022-07-19,pm 4:02:40,36.86,42.26,38.21,40.29,44.69,38.21,46.29,37.57,40.58,36.44,40.41,38.87,39.96,41.82,40.6,41.34,42.13,37.6,46.29,42.26
2022-07-19,pm 4:02:50,36.75,42.05,38.12,40.19,44.63,38.09,42.82,37.44,40.56,36.3,40.32,38.79,39.89,41.62,40.53,41.24,42.06,37.55,42.82,42.05
2022-07-19,pm 4:03:00,36.86,42.08,38.09,40.14,44.41,37.98,44.14,37.41,40.45,36.51,40.37,38.88,39.71,41.58,40.32,41.2,41.84,37.63,44.14,42.08
2022-07-19,pm 4:03:10,36.73,41.94,38.19,40.22,44.41,38.04,43.78,37.39,40.52,36.36,40.38,38.9,39.83,41.57,40.37,41.21,41.87,37.55,43.78,41.94
2022-07-19,pm 4:03:20,36.84,41.82,38.33,40.34,44.27,37.96,40.69,37.3,40.42,36.48,40.16,39.01,39.95,41.42,40.39,41.1,41.91,37.68,40.69,41.82
2022-07-19,pm 4:03:30,36.76,41.46,38.46,40.44,44.21,38.1,45.52,37.49,40.3,36.41,40.07,39,40.14,41.1,40.45,41.18,41.89,37.66,45.52,41.46
2022-07-19,pm 4:03:40,36.77,41.45,38.36,40.36,44.29,38.07,39.34,37.48,40.41,36.4,40.04,38.91,40.05,41.03,40.41,41.18,41.97,37.56,39.34,41.45
2022-07-19,pm 4:03:50,36.73,41.66,38.3,40.24,44.36,38.07,38.77,37.55,40.45,36.41,39.83,38.8,40,41.08,40.41,41.2,41.91,37.5,38.77,41.66
2022-07-19,pm 4:04:00,36.76,41.61,38.24,40.13,44.36,38.04,38.52,37.46,40.47,36.39,39.68,38.77,39.84,41.04,40.32,41.22,41.89,37.5,38.52,41.61
2022-07-19,pm 4:04:10,36.67,41.47,38.25,40.19,44.42,38.11,29.62,37.49,40.39,36.36,39.73,38.76,39.88,41.07,40.34,41.12,41.92,37.45,29.62,41.47
2022-07-19,pm 4:04:20,36.55,41.59,38.28,40.26,44.32,38.07,42.24,37.5,40.35,36.31,39.7,38.73,39.98,41.15,40.32,41.01,41.91,37.4,42.24,41.59
2022-07-19,pm 4:04:30,36.44,41.6,38.14,40.21,44.26,37.89,30.05,37.27,40.16,36.07,39.61,38.67,39.97,41.17,40.15,40.85,41.71,37.38,30.05,41.6
2022-07-19,pm 4:04:40,36.45,41.65,38.03,40.17,44.18,37.79,38.7,37.23,40.03,36.08,39.88,38.59,39.84,41.36,40.05,40.78,41.57,37.38,38.7,41.65
2022-07-19,pm 4:04:50,36.46,41.8,37.95,39.97,44.13,37.73,35.52,37.15,39.96,36.14,39.84,38.54,39.57,41.27,39.97,40.69,41.43,37.33,35.52,41.8
2022-07-19,pm 4:05:00,36.46,41.78,37.91,39.95,44.12,37.81,56.4,37.27,40.05,36.18,39.81,38.54,39.54,41.22,39.98,40.73,41.44,37.34,56.4,41.78
2022-07-19,pm 4:05:10,36.43,41.61,37.82,39.89,44.05,37.66,49.62,37.12,39.98,36.23,39.69,38.5,39.35,41.02,39.82,40.67,41.34,37.28,49.62,41.61
2022-07-19,pm 4:05:20,36.43,41.43,37.91,39.88,43.99,37.66,51.85,37.16,39.91,36.3,39.56,38.48,39.4,40.93,39.86,40.68,41.36,37.22,51.85,41.43
2022-07-19,pm 4:05:30,36.52,41.3,38.03,39.97,44,37.78,61.57,37.28,39.97,36.34,39.55,38.54,39.54,40.98,39.97,40.7,41.4,37.28,61.57,41.3
2022-07-19,pm 4:05:40,36.41,41.26,37.88,39.96,43.99,37.72,53.41,37.19,39.88,36.25,39.63,38.42,39.51,40.93,39.88,40.7,41.41,37.15,53.41,41.26
2022-07-19,pm 4:05:50,36.39,41.33,37.7,39.8,43.94,37.61,56.47,37.16,39.86,36.11,39.61,38.39,39.25,40.91,39.71,40.58,41.27,37.12,56.47,41.33
2022-07-19,pm 4:06:00,36.38,41.27,37.64,39.76,43.88,37.48,54.33,37.1,39.83,36.11,39.56,38.3,39.12,40.88,39.54,40.38,41.14,37.07,54.33,41.27
2022-07-19,pm 4:06:10,36.49,41.16,37.73,39.76,43.67,37.38,51.75,36.98,39.66,36.23,39.5,38.4,39.13,40.92,39.58,40.25,41.01,37.14,51.75,41.16
2022-07-19,pm 4:06:20,36.37,41.37,37.71,39.76,43.68,37.51,49.2,37.02,39.72,36.16,39.55,38.31,39.13,40.95,39.58,40.2,41.04,37.01,49.2,41.37
2022-07-19,pm 4:06:30,36.4,41.29,37.77,39.69,43.55,37.52,51.18,36.98,39.62,36.16,39.4,38.39,39.15,40.7,39.59,40.15,40.97,37.03,51.18,41.29
2022-07-19,pm 4:06:40,36.7,41.09,37.95,39.8,43.66,37.46,43.69,37.03,39.55,36.69,39.62,38.67,39.32,40.86,39.65,40.41,40.98,37.36,43.69,41.09
2022-07-19,pm 4:06:50,39.01,42.5,39.9,40.87,45.89,38.69,38.48,38.75,40.55,39.13,41.57,41.22,40.37,43.06,41,42.62,42.2,39.55,38.48,42.5
2022-07-19,pm 4:07:00,41.99,45.2,42.49,43.27,48.66,41.36,47.93,41.36,43.62,41.85,44.6,43.89,43.16,45.89,43.73,45.49,44.69,42.48,47.93,45.2
2022-07-19,pm 4:07:10,44.9,47.63,44.89,45.84,50.82,44.16,54.48,44.16,46.39,44.77,47.23,46.57,45.77,48.49,46.09,47.94,47.07,45.29,54.48,47.63
2022-07-19,pm 4:07:20,47.27,49.86,47.49,48.11,52.95,46.89,68.75,46.89,48.83,47.45,49.81,48.87,47.99,51,48.27,50.07,49.44,47.67,68.75,49.86
2022-07-19,pm 4:07:30,49.37,51.78,49.88,49.99,54.77,49.57,62.41,48.91,51.03,49.14,52.11,50.72,50.05,53.01,50.31,52.05,51.22,49.63,62.41,51.78
2022-07-19,pm 4:07:40,50.89,53.4,51.91,51.61,56.09,51.85,47.22,50.48,52.83,50.78,53.84,52.12,52.18,54.63,52.05,53.81,52.81,51.53,47.22,53.4
2022-07-19,pm 4:07:50,52.23,54.86,53.46,53.1,57.27,53.68,58.73,51.58,54.28,52.5,54.87,53.4,53.54,56.08,53.51,55.39,54.33,53.06,58.73,54.86
2022-07-19,pm 4:08:00,53.57,55.93,54.89,54.31,58.67,55.2,58.25,52.55,55.7,53.77,56.04,54.48,54.55,57.31,54.56,56.8,55.73,54.4,58.25,55.93
2022-07-19,pm 4:08:10,54.71,56.78,56.09,55.27,59.78,56.42,51.48,53.52,56.84,54.8,57.24,55.42,55.61,58.3,55.66,57.93,56.93,55.65,51.48,56.78
2022-07-19,pm 4:08:20,55.82,57.83,57.05,56.08,60.5,57.38,56.35,54.37,57.93,55.83,58.15,56.31,56.67,59.09,56.64,58.96,57.85,56.6,56.35,57.83
2022-07-19,pm 4:08:30,56.75,58.53,57.87,56.91,61.25,58.32,48.39,55.17,58.72,56.85,58.77,57.19,57.65,59.65,57.22,59.84,58.65,57.44,48.39,58.53
2022-07-19,pm 4:08:40,57.6,59.28,58.69,57.54,62.01,58.97,57.85,56.03,59.43,57.67,59.49,57.9,58.48,60.28,58,60.56,59.46,58.35,57.85,59.28
2022-07-19,pm 4:08:50,58.43,60.04,59.6,58.19,62.53,59.7,60.07,56.67,60.16,58.33,60.08,58.58,59.1,60.87,58.66,61.22,60.22,59.1,60.07,60.04
2022-07-19,pm 4:09:00,58.72,60.49,60.01,58.65,62.37,60.4,63.97,57.14,60.79,58.61,60.27,58.8,59.69,61.09,59,61.31,60.85,59.28,63.97,60.49
2022-07-19,pm 4:09:10,57.92,59.7,59.17,58.29,61.48,59.72,61.84,56.59,60.19,57.64,59.44,58.01,59.04,60.32,58.26,60.29,60.36,58.26,61.84,59.7
2022-07-19,pm 4:09:20,56.83,58.58,57.98,57.39,60.68,58.38,45.65,55.57,58.98,56.43,58.34,56.95,57.93,59.27,57.35,59.21,59.32,57.13,45.65,58.58
2022-07-19,pm 4:09:30,55.91,57.58,56.95,56.48,59.88,57.15,55.87,54.63,57.94,55.41,57.37,56.14,56.94,58.35,56.56,58.33,58.33,56.2,55.87,57.58
2022-07-19,pm 4:09:40,55.17,56.85,56.11,55.8,59.39,56.14,53.1,53.91,57.07,54.65,56.64,55.54,56.21,57.63,55.93,57.63,57.6,55.48,53.1,56.85
2022-07-19,pm 4:09:50,54.7,56.32,55.51,55.36,59.03,55.42,56.4,53.44,56.44,54.14,56.11,55.06,55.75,57.13,55.57,57.11,57.05,54.92,56.4,56.32
2022-07-19,pm 4:10:00,54.32,56,55.09,55.1,58.95,54.91,70.49,53.14,55.99,53.76,55.74,54.85,55.38,56.71,55.25,56.79,56.73,54.56,70.49,56
2022-07-19,pm 4:10:10,54.18,55.81,54.86,54.94,58.69,54.6,63.09,52.97,55.71,53.61,55.5,54.7,55.2,56.42,55.07,56.57,56.53,54.29,63.09,55.81
2022-07-19,pm 4:10:20,54.18,55.7,54.69,54.86,58.64,54.39,69.37,52.91,55.53,53.49,55.35,54.67,55.07,56.26,54.94,56.44,56.5,54.2,69.37,55.7
2022-07-19,pm 4:10:30,90.53,55.65,54.61,54.8,58.45,54.34,61.34,52.9,55.44,53.46,55.29,54.7,54.99,56.21,54.91,56.34,56.46,54.15,61.34,55.65
2022-07-19,pm 4:10:40,89.3,55.7,54.63,54.86,58.47,54.31,62.85,52.94,55.41,53.5,55.29,54.79,54.97,56.27,54.91,56.33,56.44,54.21,62.85,55.7
2022-07-19,pm 4:10:50,87.79,55.81,54.71,54.97,58.4,54.38,56.37,53.09,55.47,53.62,55.42,54.94,54.95,56.38,55.03,56.37,56.5,54.34,56.37,55.81
2022-07-19,pm 4:11:00,86.46,56.9,56.2,55.46,61.53,54.65,66.54,53.69,55.8,55.24,56.82,57.47,55.22,57.94,54.68,59.04,56.85,56.29,66.54,56.9
2022-07-19,pm 4:11:10,85.29,63.74,62.6,60.18,66.84,60.22,65,60.36,61,61.32,62.49,64.45,60.4,63.11,60.33,65.72,62.51,63.11,65,63.74
2022-07-19,pm 4:11:20,84.15,71.14,70.57,66.98,73.16,68.64,72.46,69.28,68.3,70.35,69.67,72.36,66.68,69.45,67.44,71.65,68.71,71.35,72.46,71.14
2022-07-19,pm 4:11:30,82.72,76.68,76.58,73.25,78.71,75.05,68.46,75.8,74.43,76.88,75.35,77.78,72.97,75.14,73.65,76.81,74.76,77.04,68.46,76.68
2022-07-19,pm 4:11:40,81.54,81.34,81.63,78.69,84.02,80.37,79.79,81.3,79.6,81.67,80.25,82.74,78.12,79.92,79.01,81.76,79.84,81.62,79.79,81.34
2022-07-19,pm 4:11:50,80.71,85.71,85.57,83.61,88.05,84.6,84.39,85.69,83.8,85.47,84.54,86.7,82.44,83.91,83.38,85.84,84.53,85.36,84.39,85.71
2022-07-19,pm 4:12:00,80.11,89.67,88.93,87.42,91.82,88.11,85.91,89.33,87.6,89.1,87.99,90.02,86.2,87.52,87.03,89.29,89,88.66,85.91,89.67
2022-07-19,pm 4:12:10,79.67,92.09,90.44,90.01,92.12,90.5,90.23,91.53,90.02,90.97,89.92,91.25,90.07,89.21,90.77,90.31,90.92,90.01,90.23,92.09
2022-07-19,pm 4:12:20,79.44,90.87,89.35,90.04,88.98,90.73,89.38,90.55,89.63,89.69,89.21,89.44,90.42,88.53,90.32,89.18,90.36,88.72,89.38,90.87
2022-07-19,pm 4:12:30,79.24,88.59,87.57,87.63,87.71,88.68,84.75,88.62,88.11,87.89,87.44,87.57,88.51,87.04,88.46,87.68,88.18,87.25,84.75,88.59
2022-07-19,pm 4:12:40,78.99,87.03,86.62,86.42,86.09,87.07,86.57,87.09,86.68,86.6,86.22,86.36,87.17,86.26,87.14,86.44,86.83,86.43,86.57,87.03
2022-07-19,pm 4:12:50,78.86,85.83,85.58,85.31,84.89,86,82.44,85.73,85.65,85.24,85.01,85.17,85.88,85.58,85.8,85.43,85.58,85.37,82.44,85.83
2022-07-19,pm 4:13:00,78.69,85.11,84.47,84.1,83.63,84.9,81.6,84.55,84.89,84.18,83.82,83.98,84.92,84.54,84.68,84.26,84.52,84.2,81.6,85.11
2022-07-19,pm 4:13:10,77.67,84.15,83.06,82.79,82.52,83.58,84.92,83.14,83.68,82.74,82.52,82.59,83.75,83.26,83.43,83.2,83.38,82.79,84.92,84.15
2022-07-19,pm 4:13:20,74.82,83.2,81.79,81.57,81.99,82.31,86.71,81.9,82.42,81.56,81.48,81.41,82.54,82.43,82.09,82.15,82.25,81.59,86.71,83.2
2022-07-19,pm 4:13:30,74.82,82.64,80.91,80.87,81.66,81.37,83.01,81,81.36,80.72,80.69,80.59,81.73,81.91,81.28,81.37,81.6,80.78,83.01,82.64
2022-07-19,pm 4:13:40,79.38,82.06,80.25,80.33,81.37,80.81,87.37,80.44,80.56,80.1,80.02,80.01,81.54,81.52,80.61,80.8,81.06,80.14,87.37,82.06
2022-07-19,pm 4:13:50,84.07,81.63,79.65,80.02,81.08,80.44,79.69,80.15,79.93,79.61,79.53,79.42,81.35,81.23,80.03,80.39,80.55,79.56,79.69,81.63
2022-07-19,pm 4:14:00,88.12,81.22,79.08,79.57,80.82,79.97,82.92,79.84,79.35,79.27,79.37,78.88,81.07,80.86,79.48,80.14,80.14,79.01,82.92,81.22
2022-07-19,pm 4:14:10,91.66,80.84,78.51,79.06,80.55,79.56,78.74,79.46,78.85,79.11,79.38,78.31,80.75,80.49,78.98,80.02,79.96,78.48,78.74,80.84
2022-07-19,pm 4:14:20,94.83,80.59,77.91,78.53,80.31,79.2,72.52,79.1,78.32,79.11,79.35,77.71,80.38,80.13,78.43,79.88,79.78,77.89,72.52,80.59
2022-07-19,pm 4:14:30,97.75,80.26,77.27,78.35,80.04,79.03,77.47,78.77,77.71,79,79.12,77.08,79.97,79.73,77.88,79.8,79.65,77.24,77.47,80.26
2022-07-19,pm 4:14:40,100.06,79.88,76.64,78.13,79.63,79.04,74.39,78.66,77.06,78.87,78.75,76.46,79.53,79.31,77.43,79.66,79.43,76.62,74.39,79.88
2022-07-19,pm 4:14:50,97.42,79.31,73.57,77.77,78.47,78.72,74.19,78.15,75.8,77.86,77.96,72.42,79.07,78.46,77.22,78.79,78.98,73.37,74.19,79.31
2022-07-19,pm 4:15:00,94.05,77.27,67.98,75.3,76.26,76.6,65.38,75.21,71.19,75.04,75.53,67.36,76.93,76.35,74.91,76.19,76.51,68.28,65.38,77.27
2022-07-19,pm 4:15:10,92.09,76.62,72.02,74.11,76.52,74.43,74.97,73.06,70.7,74.54,74.53,73.54,74.55,75.75,73.5,76.15,74.51,73.16,74.97,76.62
2022-07-19,pm 4:15:20,90.17,78.98,78.08,78.09,81.25,77.28,80.45,77.97,76.3,79.18,78.32,79.57,77.23,78.79,77.59,79.71,77.4,79.09,80.45,78.98
2022-07-19,pm 4:15:30,88.19,83.46,83.21,82.05,85.81,82.3,81.38,83.05,81.68,83.94,82.96,84.41,82.12,83.15,82.6,84.12,82.32,83.98,81.38,83.46
2022-07-19,pm 4:15:40,86.45,87.5,87.43,85.97,89.64,86.64,89.53,87.27,86.13,88.02,87.1,88.44,86.41,87.19,86.88,88.12,86.65,88.07,89.53,87.5
2022-07-19,pm 4:15:50,85.08,91.03,91.06,89.49,92.99,90.34,97.67,90.88,89.89,91.54,90.72,91.92,90.09,90.77,90.56,91.62,90.36,91.6,97.67,91.03
2022-07-19,pm 4:16:00,84.07,94.28,94.3,92.59,96.04,93.62,90.39,94.11,93.21,94.71,93.96,95.06,93.38,93.98,93.82,94.78,93.63,94.76,90.39,94.28
2022-07-19,pm 4:16:10,83.22,97.33,97.25,95.38,98.85,96.62,91.27,97.06,96.23,97.62,96.92,97.94,96.38,96.94,96.79,97.67,96.64,97.67,91.27,97.33
2022-07-19,pm 4:16:20,82.58,100.03,99.89,98.41,100.94,99.37,99.05,99.76,99,100.14,99.56,100.35,99.13,99.53,99.51,100.12,99.37,100.15,99.05,100.03
2022-07-19,pm 4:16:30,82,98.84,98.17,98.84,96.23,99.33,100.04,98.77,99.34,97.61,97.99,97.15,99.05,97.95,98.79,99.23,99.33,97.56,100.04,98.84
2022-07-19,pm 4:16:40,80.42,95.38,94.1,95.2,92.2,95.08,96.36,94.31,95.5,93.57,94.18,92.93,94.98,95.08,94.9,97.34,95.22,93.65,96.36,95.38
2022-07-19,pm 4:16:50,78.85,93.53,90.32,91.42,90.73,92.41,92.94,90.49,92.05,91.11,90.85,89.35,91.59,93.19,91.41,94.81,93,90.34,92.94,93.53
2022-07-19,pm 4:17:00,80.1,91.47,87.16,88.41,89.21,90.86,89.07,88.19,92.25,89.62,89.01,86.42,89.37,91.1,89.46,92.14,91.38,87.45,89.07,91.47
2022-07-19,pm 4:17:10,83.49,89.47,84.62,86.95,87.68,89.01,87.14,87.2,88.66,87.99,87.56,84.05,87.17,89.06,87.54,89.83,89.42,84.91,87.14,89.47
2022-07-19,pm 4:17:20,87.79,87.83,82.56,85.67,86.25,87.34,84.52,85.99,87.03,86.49,86.13,82.09,85.07,87.39,85.86,88.05,87.63,82.91,84.52,87.83
2022-07-19,pm 4:17:30,91.68,86.61,80.91,84.48,85.16,85.97,82.68,84.79,85.61,85.25,84.76,80.54,83.4,86.12,84.57,86.73,86.32,81.33,82.68,86.61
2022-07-19,pm 4:17:40,95.06,85.72,79.56,83.44,84.38,84.93,77.09,83.71,84.41,84.32,83.79,79.26,82.56,85.1,83.71,85.72,85.32,80.12,77.09,85.72
2022-07-19,pm 4:17:50,97.98,85.13,78.55,82.65,83.72,84.09,78.94,82.86,83.34,83.56,83.06,78.27,82.09,84.26,82.98,85.06,84.49,79.73,78.94,85.13
2022-07-19,pm 4:18:00,100.48,84.69,77.88,82.06,83.15,83.3,77.9,82.3,82.58,82.95,82.4,77.56,81.69,83.62,82.38,84.6,83.82,79.64,77.9,84.69
2022-07-19,pm 4:18:10,102.78,84.28,77.11,81.62,82.76,82.73,78.25,81.88,81.9,82.39,81.81,76.61,81.35,83.09,82.04,84.18,83.24,79.37,78.25,84.28
2022-07-19,pm 4:18:20,104.88,83.04,72.41,80.73,81.17,81.69,80.4,80.75,80.93,80.7,80.48,71.84,80.36,81.81,81.07,82.64,82.29,77.2,80.4,83.04
2022-07-19,pm 4:18:30,106.76,81.1,69.44,78.76,80.38,79.46,71.76,78.55,78.44,78.66,78.73,70.62,77.95,80.31,79.12,81.21,80.43,74.82,71.76,81.1
2022-07-19,pm 4:18:40,108.42,81.86,75.71,78.45,82.08,79.27,72.34,78.63,77.75,79.71,79.09,77.52,77.78,81.22,79.97,83.01,80.75,77.63,72.34,81.86
2022-07-19,pm 4:18:50,109.91,84.06,81.9,81.08,85.09,81.66,78.97,82.01,80.86,83.23,82.36,83.41,81.05,83.54,82.17,85.65,82.77,83.01,78.97,84.06
2022-07-19,pm 4:19:00,111.28,87.37,86.9,85.6,89.43,86.1,82.51,86.78,85.55,87.67,86.72,88.09,85.85,87.11,86.43,88.76,86.25,87.7,82.51,87.37
2022-07-19,pm 4:19:10,112.54,91.21,91,89.76,93.12,90.24,90.11,90.84,89.76,91.57,90.69,91.97,90,90.84,90.5,91.97,90.26,91.63,90.11,91.21
2022-07-19,pm 4:19:20,113.72,94.64,94.48,93.37,96.31,93.8,94.17,94.31,93.38,94.95,94.16,95.3,93.56,94.23,94.02,95.12,93.81,95.01,94.17,94.64
2022-07-19,pm 4:19:30,114.82,97.63,97.49,96.5,99.06,96.89,96.86,97.33,96.52,97.88,97.18,98.18,96.66,97.21,97.07,98,96.9,97.94,103.3,102.65
2022-07-19,pm 4:19:40,115.85,100.16,100.06,99.19,101.44,99.54,100.13,99.91,99.21,100.39,99.77,100.66,99.31,99.78,99.67,100.48,99.54,100.44,104.11,103.75
2022-07-19,pm 4:19:50,116.83,102.48,102.39,101.59,103.66,101.9,102.51,102.23,101.59,102.69,102.12,102.94,101.68,102.12,102.01,102.78,101.89,102.74,104.92,105.51
2022-07-19,pm 4:20:00,117.75,104.6,104.53,103.79,105.68,104.08,101.88,104.38,103.78,104.79,104.27,105.02,103.86,104.26,104.17,104.88,104.07,104.83,105.89,107.04
2022-07-19,pm 4:20:10,118.63,106.52,106.45,105.78,107.48,106.05,102.56,106.32,105.76,106.68,106.21,106.88,105.84,106.19,106.12,106.77,106.04,106.71,107.19,108.37
2022-07-19,pm 4:20:20,119.41,108.21,108.15,107.55,109.06,107.8,104.09,108.04,107.53,108.34,107.92,108.52,107.6,107.9,107.84,108.4,107.78,108.37,108.62,109.48
2022-07-19,pm 4:20:30,120.11,109.71,109.66,109.12,110.48,109.34,107.95,109.56,109.1,109.83,109.45,109.99,109.15,109.43,109.38,109.88,109.33,109.86,109.99,110.66
2022-07-19,pm 4:20:40,120.71,111.07,111.04,110.53,111.8,110.75,108.47,110.94,110.51,111.2,110.85,111.34,110.57,110.82,110.77,111.24,110.74,111.23,111.24,111.83
2022-07-19,pm 4:20:50,121.23,112.35,112.32,111.85,113.04,112.05,104.15,112.23,111.82,112.47,112.14,112.62,111.88,112.12,112.08,112.51,112.04,112.5,112.37,112.93
2022-07-19,pm 4:21:00,121.67,113.55,113.52,113.07,114.18,113.26,117.38,113.44,113.05,113.65,113.35,113.79,113.11,113.33,113.29,113.7,113.25,113.68,113.43,113.96
2022-07-19,pm 4:21:10,122.05,114.66,114.63,114.22,115.25,114.39,113.09,114.55,114.19,114.76,114.47,114.88,114.25,114.45,114.41,114.8,114.38,114.78,114.44,114.94
2022-07-19,pm 4:21:20,122.33,115.71,115.68,115.29,116.27,115.45,112.01,115.61,115.26,115.8,115.53,115.91,115.32,115.51,115.47,115.84,115.44,115.82,115.38,115.86
2022-07-19,pm 4:21:30,122.54,116.69,116.66,116.29,117.22,116.45,116.78,116.6,116.26,116.77,116.52,116.88,116.33,116.5,116.46,116.82,116.44,116.8,116.27,116.72
2022-07-19,pm 4:21:40,122.49,117.62,117.6,117.24,118.12,117.39,118.34,117.53,117.21,117.69,117.46,117.8,117.26,117.44,117.4,117.73,117.39,117.72,117.13,117.56
2022-07-19,pm 4:21:50,122.46,118.5,118.48,118.15,118.97,118.29,116.73,118.42,118.12,118.57,118.35,118.68,118.17,118.33,118.29,118.61,118.28,118.6,117.94,118.38
2022-07-19,pm 4:22:00,122.49,119.31,119.28,118.98,119.73,119.11,116.23,119.24,118.95,119.36,119.16,119.45,119,119.14,119.12,119.39,119.11,119.39,118.75,119.15
2022-07-19,pm 4:22:10,122.45,120.02,119.99,119.73,120.39,119.84,118.06,119.96,119.7,120.06,119.88,120.14,119.74,119.86,119.85,120.09,119.84,120.09,119.49,119.86
2022-07-19,pm 4:22:20,122.46,120.64,120.61,120.38,120.96,120.49,118.31,120.58,120.35,120.67,120.51,120.74,120.39,120.49,120.49,120.69,120.49,120.69,120.16,120.49
2022-07-19,pm 4:22:30,122.41,121.17,121.14,120.94,121.44,121.03,120.42,121.12,120.91,121.19,121.05,121.25,120.94,121.03,121.03,121.21,121.03,121.21,120.75,121.03
2022-07-19,pm 4:22:40,122.35,121.63,121.6,121.42,121.86,121.51,120.44,121.58,121.4,121.64,121.51,121.69,121.43,121.5,121.51,121.65,121.51,121.66,121.26,121.49
2022-07-19,pm 4:22:50,122.33,122.01,121.99,121.84,122.21,121.91,122.29,121.97,121.81,122.02,121.91,122.06,121.84,121.9,121.9,122.03,121.91,122.04,121.68,121.88
2022-07-19,pm 4:23:00,122.34,122.31,122.29,122.17,122.46,122.23,121.51,122.28,122.14,122.3,122.21,122.33,122.16,122.2,122.22,122.32,122.23,122.32,122.05,122.21
2022-07-19,pm 4:23:10,122.36,122.55,122.52,122.43,122.63,122.48,122.54,122.53,122.4,122.52,122.45,122.54,122.42,122.44,122.47,122.53,122.48,122.54,122.34,122.42
2022-07-19,pm 4:23:20,122.38,122.51,122.5,122.49,122.49,122.54,123.43,122.52,122.49,122.46,122.44,122.46,122.48,122.43,122.48,122.47,122.54,122.48,122.5,122.5
2022-07-19,pm 4:23:30,122.41,122.51,122.48,122.47,122.47,122.48,126.24,122.5,122.45,122.44,122.43,122.44,122.45,122.43,122.46,122.45,122.49,122.46,122.54,122.53
2022-07-19,pm 4:23:40,122.45,122.48,122.48,122.45,122.54,122.46,118.69,122.48,122.42,122.48,122.45,122.48,122.42,122.45,122.44,122.48,122.46,122.49,122.49,122.46
2022-07-19,pm 4:23:50,122.49,122.42,122.43,122.42,122.47,122.42,117.07,122.43,122.4,122.42,122.4,122.43,122.4,122.41,122.39,122.43,122.43,122.44,122.5,122.51
2022-07-19,pm 4:24:00,122.53,122.46,122.46,122.44,122.5,122.47,118.8,122.47,122.43,122.44,122.43,122.44,122.43,122.43,122.43,122.46,122.47,122.47,122.51,122.48
